method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_local_ids_sec,runtime_total_sec,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec
descriptor_clustering,67,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.5,1,0,0,16,,0.1085295829980168,0.0323729170195292,,0.0017460419912822
fcgnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1369994590058922,0.0310872500122059,0.0418512079922948,0.0016948749835137
descriptor_clustering,37,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,176,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.6666666666666666,2,0,0,32,,0.1220640419924166,0.0456473749945871,,0.0016027499805204
fcgnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1427385419956408,0.0334962909983005,0.0430412499990779,0.0023668749781791
fcgnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1712429999897722,0.0347325409820769,0.0596645839978009,0.0018291659944225
fcgnn,41,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1316979579860344,0.0328008749929722,0.0307517909968737,0.0029409579874482
local_ids,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0925872500229161,,,
fcgnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.192467332992237,0.0312050000065937,0.0953043329936917,0.0019010410178452
standard_gnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.178421167016495,0.0325475419813301,0.075273125024978,0.0022147920099087
descriptor_clustering,71,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,175,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.5,1,0,0,14,,0.1058760419837199,0.0324599589803256,,0.0016292500076815
local_ids,37,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,176,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0591599580075126,,,
descriptor_clustering,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.6666666666666666,2,0,0,30,,0.1076569170108996,0.0333965420140884,,0.0021859589905943
local_ids,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0954231669893488,,,
standard_gnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.208246333990246,0.0311067499860655,0.1078044580062851,0.0024389589962083
fcgnn,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.103104666020954,0.0317913340113591,0.0091752909938804,0.0019010420073755
local_ids,53,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,172,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0594493340176995,,,
fcgnn,97,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,188,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1259792080090847,0.0308887919818516,0.0293739580083638,0.001592749991687
standard_gnn,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1559544159972574,0.0313442079932428,0.058054583001649,0.0034793749800883
standard_gnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1635344999958761,0.0315814579953439,0.0656982499931473,0.0020753330027218
local_ids,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0595660830149427,,,
standard_gnn,67,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1219982919865287,0.0331265410059131,0.0248010409995913,0.0017794170125853
local_ids,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0653912500129081,,,
fcgnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1464087500062305,0.0335689590137917,0.0447938329889439,0.0022549169952981
fcgnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1806564999860711,0.0372393339930567,0.075953166000545,0.0024976669810712
local_ids,101,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,182,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0585178330074995,,,
descriptor_clustering,83,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.75,3,0,0,36,,0.1059150410001166,0.0321137499995529,,0.0014938329986762
descriptor_clustering,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1107872500142548,0.03352266701404,,0.002020708983764
fcgnn,67,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1270372500002849,0.0323837920150253,0.0310472080018371,0.0017784999799914
descriptor_clustering,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.6666666666666666,2,0,0,30,,0.1307435829949099,0.0391960000270046,,0.0045959589770063
fcgnn,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1057730840111617,0.0329677919798996,0.0076369579765014,0.0017448750149924
local_ids,97,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,188,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0605147919850423,,,
fcgnn,83,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1295750419958494,0.0329759170126635,0.030718624999281,0.0016349169891327
standard_gnn,97,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,188,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1273622500011697,0.0344842910126317,0.02527437498793,0.0017839999927673
standard_gnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2100051669985987,0.062231249990873,0.0737704159982968,0.0019082909857388
local_ids,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0594013750087469,,,
