method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
standard_gnn,11,S3_strong_campaign,10,1.0,2,1,0,0,0.7058823529411765,1.0,0.8275862068965517,1.0,0.0,0.665326388888889,0.8141181072421046,0,180,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,87,0.0875202080060262,0.0867077500151936,0.005718957982026,1.435876042000018,
standard_gnn,11,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,6,1,0,113,0.107287584018195,0.0912221249891445,0.0061231250001583,2.0385856670036446,
fcgnn,11,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0515898750163614,0.0670131250226404,0.0043510420073289,0.7004842089954764,
fcgnn,11,S3_strong_campaign,5,1.0,2,1,0,0,0.5454545454545454,1.0,0.7058823529411765,1.0,0.0,0.668574074074074,0.7096990036117488,0,176,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,23,0.0615227920061443,0.074875249993056,0.0040162920195143,0.789387374999933,
descriptor_clustering,97,S3_strong_campaign,10,1.0,3,0,0,0,0.9486166007905138,1.0,0.973630831643002,1.0,0.0,0.9615897435897436,0.9977003086254695,0,45,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.1145742499793414,,0.0072537919913884,2.660976999992272,
descriptor_clustering,37,S3_strong_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7781736111111112,0.7650360762556104,0,178,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,3,1,0,80,0.0575559999851975,,0.0026562500279396,0.6886581250000745,
fcgnn,83,S3_strong_campaign,10,0.75,3,0,0,0,0.9478672985781992,1.0,0.97323600973236,1.0,0.0,0.9625757575757576,0.9977910227501862,0,40,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,11,1,0,400,0.1484229580091778,0.1309270840138197,0.0080166249827016,2.752135124988854,
standard_gnn,71,S3_strong_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7715902777777778,0.7595810342902711,0,193,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,6,1,0,79,0.0556864170066546,0.0566337920026853,0.0043304589926265,0.7210234999947716,
standard_gnn,71,S3_strong_campaign,10,0.75,3,0,0,0,0.946372239747634,1.0,0.9724473257698542,1.0,0.0,0.95515931372549,0.997267607935126,0,41,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,12,1,0,206,0.1141857920156326,0.0956635829934384,0.0070015829987823,2.7389325000112876,
standard_gnn,41,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7864861111111113,0.7806971617113507,0,178,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0512927499949,0.059397999983048,0.0044096249912399,0.6931975829938892,
