run_id,seed,campaign_size,fleet_size,total_nodes,experiment_group,method,framework_config,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,n_true_campaign_clusters,n_predicted_campaign_clusters,false_campaign_cluster_count,missed_campaign_count,membership_precision,membership_recall,membership_f1,membership_purity,completeness,attacked_vehicles_correctly_included,attacked_vehicles_missed,benign_vehicles_included,predicted_campaign_size,true_campaign_size,fragmentation_rate,fragments_per_true_campaign,incorrect_merging_rate,unrelated_clusters_merged,dbscan_noise_percentage,largest_cluster_size,connected_component_count,unique_edges,pyg_stored_edges,average_degree,median_degree,graph_density,isolated_node_percentage,cross_vehicle_edges,cross_vehicle_edge_percentage,largest_connected_component,graph_build_time,gnn_inference_time,clustering_time,end_to_end_latency,peak_memory,total_descriptors,candidate_nodes,malicious_candidates,benign_candidates,weak_malicious_candidates,strong_malicious_candidates,benign_below_threshold,candidate_precision,candidate_recall,correctly_filtered_benign,benign_incorrectly_promoted,source_windows,malicious_source_windows,benign_source_windows,clearly_benign_filtered,scenario_id,attack_strength,expect_campaign,graph_nodes,candidate_transmission_rate,transmission_percentage,strong_candidates,weak_candidates,same_vehicle_edges,incorrect_merging,false_campaign_rate,local_detection_rate,malicious_cross_vehicle_edge_purity,test_condition,scenario_key
unrelated_incidents_cs0_seed11_20260614T201944,11,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,0.0,0.0,0.0,0.0,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5,0.0,0.0,0.0,0,43.5,11,78,209.0,,2.09,,0.01050251256281407,27.0,10.0,4.784688995215311,30,0.09484987508039922,0.07173516601324081,0.04017633409239352,0.2563844589749351,1.2431554794311523,200,200,33,167,0,33,0,0.165,1.0,0,167,200,33,167,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,33,0,199.0,0.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed23_20260614T201945,23,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,1.0,1.0,1.0,1.0,5,1,0,0,1.0,0.6,0.7499999999999999,1.0,1.0,3,2,0,3,5,0.0,0.2,1.0,1,66.0,12,108,203.0,,2.03,,0.010201005025125628,40.0,0.0,0.0,24,0.09771716606337577,0.07140820799395442,0.033434542012400925,0.24647437501698732,1.240896224975586,200,200,38,162,0,38,0,0.19,1.0,0,162,200,38,162,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,38,0,203.0,1.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed37_20260614T201945,37,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,0.0,0.0,0.0,0.0,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5,0.0,0.0,0.0,0,69.5,8,88,200.0,,2.0,,0.010050251256281407,31.5,2.0,1.0,18,0.0967327079270035,0.07007745804730803,0.03324841696303338,0.24246170790866017,1.2404308319091797,200,200,33,167,0,33,0,0.165,1.0,0,167,200,33,167,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,33,0,198.0,0.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed41_20260614T201946,41,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,1.0,1.0,1.0,1.0,5,1,0,0,1.0,0.8,0.888888888888889,1.0,1.0,4,1,0,4,5,0.0,0.2,1.0,1,57.99999999999999,14,88,254.0,,2.54,,0.012763819095477387,32.5,0.0,0.0,33,0.09339349996298552,0.07116349996067584,0.03453375003300607,0.24406508298125118,1.2526063919067383,200,200,45,155,0,45,0,0.225,1.0,0,155,200,45,155,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,45,0,254.0,1.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed53_20260614T201947,53,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,0.0,0.0,0.0,0.0,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5,0.0,0.0,0.0,0,54.50000000000001,9,71,285.0,,2.85,,0.014321608040201005,23.5,0.0,0.0,19,0.11223199998494238,0.0747529169311747,0.041898875031620264,0.27361204207409173,1.2687101364135742,200,200,34,166,0,34,0,0.17,1.0,0,166,200,34,166,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,34,0,285.0,0.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed67_20260614T201947,67,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,0.0,0.0,0.0,0.0,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5,0.0,0.0,0.0,0,66.0,9,87,215.0,,2.15,,0.010804020100502512,30.5,1.0,0.46511627906976744,22,0.09637541591655463,0.07022875000257045,0.03077762492466718,0.23861833405680954,1.2472209930419922,200,200,34,166,0,34,0,0.17,1.0,0,166,200,34,166,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,34,0,214.0,0.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed71_20260614T201948,71,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,1.0,1.0,1.0,1.0,5,1,0,0,1.0,1.0,1.0,1.0,1.0,5,0,0,5,5,0.0,0.2,1.0,1,55.50000000000001,13,83,260.0,,2.6,,0.01306532663316583,30.0,0.0,0.0,34,0.09694441698957235,0.07028700003866106,0.034983334015123546,0.24642508302349597,1.2580509185791016,200,200,33,167,0,33,0,0.165,1.0,0,167,200,33,167,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,33,0,260.0,1.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed83_20260614T201948,83,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,0.0,0.0,0.0,0.0,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5,0.0,0.0,0.0,0,70.5,5,90,188.0,,1.88,,0.009447236180904522,29.0,8.0,4.25531914893617,22,0.09316754201427102,0.06899133394472301,0.034308957983739674,0.24029483401682228,1.240168571472168,200,200,33,167,0,33,0,0.165,1.0,0,167,200,33,167,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,33,0,180.0,0.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed97_20260614T201949,97,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,1.0,1.0,1.0,1.0,5,1,0,0,1.0,0.8,0.888888888888889,1.0,1.0,4,1,0,4,5,0.0,0.2,1.0,1,60.0,12,78,253.0,,2.53,,0.01271356783919598,27.0,10.0,3.952569169960474,37,0.09833358391188085,0.16750083409715444,0.06174024997744709,0.3732755419332534,1.2580747604370117,200,200,37,163,0,37,0,0.185,1.0,0,163,200,37,163,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,37,0,243.0,1.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
unrelated_incidents_cs0_seed101_20260614T201950,101,5,20,200,Unrelated Multi-Vehicle Incidents,fcgnn,C3,0.0,0.0,0.0,0.0,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5,0.0,0.0,0.0,0,59.0,7,77,245.0,,2.45,,0.012311557788944723,25.5,19.0,7.755102040816326,24,0.10262604197487235,0.108313333010301,0.10836808395106345,0.3843477499904111,1.2518129348754883,200,200,41,159,0,41,0,0.205,1.0,0,159,200,41,159,0,Unrelated Multi-Vehicle Incidents,n/a,0,200,1.0,100.0,41,0,226.0,0.0,0.0,1.0,,Unrelated Multi-Vehicle Incidents,unrelated_incidents
