method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,experiment,attack_strength,attacked_model_diversity,total_fleet_size,expected_total_nodes,descriptors_per_vehicle,graph_nodes,attacked_vehicle_count,platform_composition,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,graph_unique_undirected_edges,graph_pyg_stored_edges,graph_directed_status,graph_average_degree,graph_median_degree,graph_graph_density,graph_isolated_nodes,graph_isolated_node_percentage,graph_connected_components,graph_largest_component_size,graph_cross_vehicle_edges,graph_same_vehicle_edges,graph_cross_vehicle_edge_percentage,graph_similarity_threshold,graph_top_k_same_vehicle,graph_top_k_cross_vehicle,graph_graph_construction_time_sec,run_id,runtime_local_ids_sec
local_ids,67,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2296,0.1639389887953379,50,77,0.5,1.0,0.6666666666666666,10,10,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.0974690829752944,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",13.10855817751316,13.119967832446047,12.433803239746602,3.2313382595564835,9.888629572889563,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_weak_n10_local_ids_seed67_20260611T123111_eaf214a4,0.0
fcgnn,71,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2431333333333333,0.1674488139027956,50,67,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,24,0.0313915000297129,0.0396559999790042,0.0022962500224821,1.2490986660122871,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",12.244051599492176,12.22088042127893,11.542741457836236,2.9879784688153346,9.232901952463594,0,0,0.0,656.0,1312.0,undirected_nx_bidirectional_pyg,6.56,7.0,0.03296482,13.0,6.5,22.0,100.0,156.0,500.0,23.7805,0.95,10.0,5.0,0.031005,campaign_size_corrected_weak_n10_fcgnn_seed71_20260611T123119_861fcfd8,
fcgnn,37,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8400000000000001,0.3815299419108788,0,85,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,41,0.0314633339876309,0.0407835830119438,0.0029164589941501,1.126048207981512,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.104108558035378,11.984887191641633,10.956331543477033,3.8892416785949986,8.095645513046634,0,0,0.0,662.0,1324.0,undirected_nx_bidirectional_pyg,6.62,5.0,0.03326633,25.0,12.5,34.0,87.0,145.0,517.0,21.9033,0.95,10.0,5.0,0.03109,campaign_size_corrected_strong_n5_fcgnn_seed37_20260611T122756_d31bcd97,
local_ids,53,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2136842105263157,0.0330705357870486,10,106,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.234459625033196,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.298829153860158,12.195079160523823,11.167675578252236,1.1695601455029252,11.0255190150209,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_weak_n2_local_ids_seed53_20260611T122934_b8088f2d,0.0
local_ids,23,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2471052631578947,0.0346128464163839,10,100,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.0045377910137177,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.50284517284831,12.525065458770936,11.772579213120627,1.2090452117917447,11.316020246979193,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_weak_n2_local_ids_seed23_20260611T122921_9f7f5ad2,0.0
descriptor_clustering,101,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8613157894736843,0.3254737121361162,0,107,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.033234792004805,,0.0016397499712184,1.0613519999897107,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.369549933513431,12.079147443627583,11.574232703145825,-1.8023048399422936,13.881452283569878,0,0,0.0,625.0,1250.0,undirected_nx_bidirectional_pyg,6.25,5.0,0.03140704,19.0,9.5,27.0,132.0,75.0,550.0,12.0,0.95,10.0,5.0,0.032839,campaign_size_corrected_strong_n2_descriptor_clustering_seed101_20260611T122740_73c3617f,
local_ids,97,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8853714285714286,0.4926133899281171,0,103,0.25,1.0,0.4,5,15,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.0618584170006216,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.36397362373416,12.16833359559689,11.380717555787903,4.289940539336535,7.878393056260355,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_strong_n5_local_ids_seed97_20260611T122820_e0bd326e,0.0
local_ids,101,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.8169333333333334,0.47743010930267,0,94,0.5,1.0,0.6666666666666666,10,10,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.0918136659893207,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.26824729506689,201.01082216419456,200.2153431523235,94.87813908137252,106.13268308282204,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_strong_n10_local_ids_seed101_20260611T122912_6dbf30b1,0.0
descriptor_clustering,97,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.1652631578947368,0.0317057744194939,10,102,0.1,1.0,0.1818181818181818,2,18,1.0,0.0,1.0,0.0,1.0,2,1,0,37,0.0307748329942114,,0.0013432499836198,1.0494135830085725,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",9.947574003615111,9.974432801889252,8.972159776561565,1.9734136068175676,8.001019195071684,0,0,0.0,502.0,1004.0,undirected_nx_bidirectional_pyg,5.02,4.0,0.02522613,27.0,13.5,36.0,131.0,47.0,455.0,9.3625,0.95,10.0,5.0,0.030383,campaign_size_corrected_weak_n2_descriptor_clustering_seed97_20260611T122953_eee15188,
standard_gnn,83,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.1463157894736842,0.0311216467568626,10,96,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0307065829983912,0.0308470420422963,0.0014812079607509,1.1482638330198824,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",10.147123873492228,10.123857958274924,9.027071171201818,1.8417917028379984,8.282066255436925,0,0,0.0,518.0,1036.0,undirected_nx_bidirectional_pyg,5.18,5.0,0.02603015,18.0,9.0,29.0,129.0,52.0,466.0,10.0386,0.95,10.0,5.0,0.030343,campaign_size_corrected_weak_n2_standard_gnn_seed83_20260611T122950_4bf6d54a,
