method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,experiment,attack_strength,attacked_model_diversity,total_fleet_size,expected_total_nodes,descriptors_per_vehicle,graph_nodes,attacked_vehicle_count,platform_composition,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,graph_unique_undirected_edges,graph_pyg_stored_edges,graph_directed_status,graph_average_degree,graph_median_degree,graph_graph_density,graph_isolated_nodes,graph_isolated_node_percentage,graph_connected_components,graph_largest_component_size,graph_cross_vehicle_edges,graph_same_vehicle_edges,graph_cross_vehicle_edge_percentage,graph_similarity_threshold,graph_top_k_same_vehicle,graph_top_k_cross_vehicle,graph_graph_construction_time_sec,run_id,runtime_local_ids_sec,framework_config
fcgnn,71,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2505142857142857,0.0827910976804808,25,86,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,13,0.0315815840149298,0.0396504589589312,0.0024016670067794,1.1384396669454873,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",11.989688453079046,12.002255438136189,11.300424434436165,2.051220329969326,9.951035108166865,0,0,0.0,519.0,1038.0,undirected_nx_bidirectional_pyg,5.19,4.0,0.0260804,16.0,8.0,27.0,102.0,98.0,421.0,18.8825,0.95,10.0,5.0,0.031218,campaign_size_corrected_weak_n5_fcgnn_seed71_20260611T123032_5611f939,,C3
fcgnn,97,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.818,0.5144007693967566,0,82,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,3,1,0,104,0.0308987079770304,0.0397673340048641,0.0025813340325839,1.237722790974658,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.10644689874417,200.92453164240467,200.092705352627,95.86401492294328,105.0605167194614,0,0,0.0,944.0,1888.0,undirected_nx_bidirectional_pyg,9.44,11.5,0.04743719,17.0,8.5,31.0,100.0,268.0,676.0,28.3898,0.95,10.0,5.0,0.030515,campaign_size_corrected_strong_n10_fcgnn_seed97_20260611T122911_f6e5a38f,,C3
fcgnn,53,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2136842105263157,0.0330705357870486,10,106,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,10,0.0288186249672435,0.0339637500001117,0.0024269169662147,1.093971916998271,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.298829153860158,12.195079160523823,11.167675578252236,1.1695601455029252,11.0255190150209,0,0,0.0,467.0,934.0,undirected_nx_bidirectional_pyg,4.67,4.5,0.02346734,19.0,9.5,28.0,114.0,47.0,420.0,10.0642,0.95,10.0,5.0,0.028459,campaign_size_corrected_weak_n2_fcgnn_seed53_20260611T122938_317eb40e,,C3
fcgnn,23,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2316666666666666,0.1659103562038741,50,65,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,38,0.0331094580469653,0.0403789579868316,0.00258945801761,1.1666377920191735,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",13.117818312680438,13.118152962657916,12.457697601395758,3.0723765800507903,10.045776382607125,0,0,0.0,663.0,1326.0,undirected_nx_bidirectional_pyg,6.63,7.0,0.03331658,22.0,11.0,33.0,100.0,174.0,489.0,26.2443,0.95,10.0,5.0,0.032706,campaign_size_corrected_weak_n10_fcgnn_seed23_20260611T123055_84541cff,,C3
fcgnn,97,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8853714285714286,0.4926133899281171,0,103,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,32,0.0302040409878827,0.039477749960497,0.0026611249777488,1.1168256659875624,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.36397362373416,12.16833359559689,11.380717555787903,4.289940539336535,7.878393056260355,0,0,0.0,721.0,1442.0,undirected_nx_bidirectional_pyg,7.21,5.0,0.03623116,10.0,5.0,23.0,58.0,83.0,638.0,11.5118,0.95,10.0,5.0,0.029818,campaign_size_corrected_strong_n5_fcgnn_seed97_20260611T122823_47afe1a2,,C3
fcgnn,101,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,0.0,1.0,0.0,1.0,2,1,0,49,0.0303234999882988,0.0402365410118363,0.0026578750112093,1.1094801669823935,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.42486883296382,12.27271181481214,11.294034723481715,3.6404572909885378,8.632254523823603,0,0,0.0,763.0,1526.0,undirected_nx_bidirectional_pyg,7.63,5.0,0.03834171,14.0,7.0,22.0,93.0,75.0,688.0,9.8296,0.95,10.0,5.0,0.029954,campaign_size_corrected_strong_n5_fcgnn_seed101_20260611T122828_d22879ef,,C3
fcgnn,37,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2020571428571428,0.0783426232845703,25,83,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,15,0.0302486669970676,0.0372653329977765,0.002356375043746,1.1134127089753747,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",12.122043213998053,12.151412612538005,11.405416240566282,1.7069595613117632,10.444453051226242,0,0,0.0,563.0,1126.0,undirected_nx_bidirectional_pyg,5.63,5.0,0.02829146,20.0,10.0,33.0,98.0,85.0,478.0,15.0977,0.95,10.0,5.0,0.029799,campaign_size_corrected_weak_n5_fcgnn_seed37_20260611T123014_508a5d1c,,C3
fcgnn,97,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2269714285714285,0.0807123414715392,25,85,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,16,0.0291472499957308,0.0363931669853627,0.0020583749865181,1.1857542080106214,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",12.165109991387045,12.055579541933549,11.53161519640866,2.5406151971914266,9.514964344742122,0,0,0.0,610.0,1220.0,undirected_nx_bidirectional_pyg,6.1,6.0,0.03065327,21.0,10.5,35.0,80.0,88.0,522.0,14.4262,0.95,10.0,5.0,0.028697,campaign_size_corrected_weak_n5_fcgnn_seed97_20260611T123041_d0670617,,C3
fcgnn,53,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2281333333333333,0.1640278908480361,50,77,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,25,0.0373616659780964,0.0373157080030068,0.0022271249908953,1.3360497920075431,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",13.30875861169964,13.319754079255214,12.51809227431575,3.030275351728691,10.289478727526522,0,0,0.0,720.0,1440.0,undirected_nx_bidirectional_pyg,7.2,8.0,0.0361809,21.0,10.5,31.0,100.0,179.0,541.0,24.8611,0.95,10.0,5.0,0.036975,campaign_size_corrected_weak_n10_fcgnn_seed53_20260611T123109_79357b1f,,C3
fcgnn,67,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.7909714285714287,0.3345779998719629,0,80,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,17,0.0312153749982826,0.0406130419578403,0.0023863749811425,1.1094021250028163,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",13.991849981078678,13.85806244998428,13.113195093133218,5.448970454296258,8.409091995688023,0,0,0.0,713.0,1426.0,undirected_nx_bidirectional_pyg,7.13,6.0,0.03582915,14.0,7.0,22.0,65.0,126.0,587.0,17.6718,0.95,10.0,5.0,0.030844,campaign_size_corrected_strong_n5_fcgnn_seed67_20260611T122810_c99356ea,,C3
