method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,n_nodes,n_graph_edges,is_unrelated
M3_GCN,strong_campaign,0.4032258064516129,1.0,0.5747126436781609,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,71,200,905,False
M4_GraphSAGE,strong_campaign,0.4032258064516129,1.0,0.5747126436781609,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,71,200,905,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,71,200,929,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,71,200,929,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,71,200,929,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,71,200,929,False
M1_local_IF,unrelated_incidents,0.37593984962406013,1.0,0.5464480874316939,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,71,200,941,
M2_descriptor_clustering,unrelated_incidents,0.37593984962406013,1.0,0.5464480874316939,0.0,0.0,0.0,0.0,0.6,1.0,1.0,5,1,0,computed,71,200,941,True
M3_GCN,unrelated_incidents,0.37593984962406013,1.0,0.5464480874316939,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,71,200,941,True
M4_GraphSAGE,unrelated_incidents,0.37593984962406013,1.0,0.5464480874316939,0.0,0.0,0.0,0.0,0.2,0.0,1.0,5,1,0,computed,71,200,941,True
M1_local_IF,strong_campaign,0.4166666666666667,1.0,0.5882352941176471,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,83,200,926,
M2_descriptor_clustering,strong_campaign,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,83,200,926,False
M3_GCN,strong_campaign,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,83,200,926,False
M4_GraphSAGE,strong_campaign,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,83,200,926,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,83,200,922,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,83,200,922,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,83,200,922,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,83,200,922,False
M1_local_IF,unrelated_incidents,0.4166666666666667,1.0,0.5882352941176471,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,83,200,935,
M2_descriptor_clustering,unrelated_incidents,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5,1,0,computed,83,200,935,True
M3_GCN,unrelated_incidents,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,83,200,935,True
M4_GraphSAGE,unrelated_incidents,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.4,1.0,1.0,5,1,0,computed,83,200,935,True
M1_local_IF,strong_campaign,0.4065040650406504,1.0,0.5780346820809249,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,97,200,916,
M2_descriptor_clustering,strong_campaign,0.4065040650406504,1.0,0.5780346820809249,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,916,False
M3_GCN,strong_campaign,0.4065040650406504,1.0,0.5780346820809249,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,916,False
M4_GraphSAGE,strong_campaign,0.4065040650406504,1.0,0.5780346820809249,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,916,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,97,200,932,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,932,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,932,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,932,False
M1_local_IF,unrelated_incidents,0.42016806722689076,1.0,0.591715976331361,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,97,200,933,
M2_descriptor_clustering,unrelated_incidents,0.42016806722689076,1.0,0.591715976331361,0.0,0.0,0.0,0.0,0.6,1.0,1.0,5,1,0,computed,97,200,933,True
M3_GCN,unrelated_incidents,0.42016806722689076,1.0,0.591715976331361,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,97,200,933,True
M4_GraphSAGE,unrelated_incidents,0.42016806722689076,1.0,0.591715976331361,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5,1,0,computed,97,200,933,True
M1_local_IF,strong_campaign,0.4065040650406504,1.0,0.5780346820809249,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,101,200,927,
M2_descriptor_clustering,strong_campaign,0.4065040650406504,1.0,0.5780346820809249,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,927,False
M3_GCN,strong_campaign,0.4065040650406504,1.0,0.5780346820809249,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,927,False
M4_GraphSAGE,strong_campaign,0.4065040650406504,1.0,0.5780346820809249,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,927,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,101,200,902,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,902,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,902,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,902,False
M1_local_IF,unrelated_incidents,0.38461538461538464,1.0,0.5555555555555556,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,101,200,941,
M2_descriptor_clustering,unrelated_incidents,0.38461538461538464,1.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.6,1.0,1.0,5,1,0,computed,101,200,941,True
M3_GCN,unrelated_incidents,0.38461538461538464,1.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,101,200,941,True
M4_GraphSAGE,unrelated_incidents,0.38461538461538464,1.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.2,0.0,1.0,5,1,0,computed,101,200,941,True
