run_id,scenario,seed,campaign_size,A_n_descriptors,B_attacked_vehicle_desc,B_benign_vehicle_desc,B_malicious_desc,C_strong_mal_desc,C_weak_mal_desc,D_n_graph_nodes,E_n_graph_edges_undirected,F_same_vehicle_edges,G_cross_vehicle_edges,H_connected_components,I_n_dbscan_clusters_pre_gate,J_n_noise_nodes,K_cluster_size,L_r_k_distinct_vehicles,M_c_k_cohesion,N_gamma_pass,O_beta_pass,P_eta_pass,Q_V_P,R_V_G,S_Jaccard_P_G,T_tp,T_fp,T_fn,cluster_id,n_gt_vehicles_in_cluster,qualifies,primary_failure,campaign_f1,membership_f1,same_gt_cosine_mean,unrelated_cosine_mean,emb_within_gt_mean,emb_gt_unrelated_mean
val_S3_seed181,S3,181,5,200,50,150,50,30,6,200,378,74,304,69,3,67,2,1,0.989019,False,True,True,"[""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,29,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.2506086688009091,0.0288115299558495,5.659500685842046,11.829376491832733
val_S3_seed191,S3,191,5,200,50,150,50,30,4,200,317,63,254,68,3,43,153,20,0.217818,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,10,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.2164045229544863,0.0167744576685924,5.844439437581193,14.02746210961342
val_S3_seed191,S3,191,5,200,50,150,50,30,4,200,317,63,254,68,3,43,2,1,0.990436,False,True,True,"[""H012""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,23,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.2164045229544863,0.0167744576685924,5.844439437581193,14.02746210961342
val_S3_seed191,S3,191,5,200,50,150,50,30,4,200,317,63,254,68,3,43,2,1,0.99853,False,True,True,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,29,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.2164045229544863,0.0167744576685924,5.844439437581193,14.02746210961342
val_S3_seed193,S3,193,5,200,50,150,50,29,5,200,358,79,279,75,2,61,137,20,0.223027,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,5,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.2458784676138311,0.0281387247328245,6.087438072909069,12.7265724650383
val_S3_seed193,S3,193,5,200,50,150,50,29,5,200,358,79,279,75,2,61,2,1,0.994066,False,True,True,"[""K016""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,28,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.2458784676138311,0.0281387247328245,6.087438072909069,12.7265724650383
val_S3_seed197,S3,197,5,200,50,150,50,29,3,200,344,70,274,63,1,44,156,20,0.24262,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,13,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.2354668823547326,0.0191054412991929,6.462866599140558,13.398841823482512
val_S4_seed131,S4,131,5,200,50,150,50,2,29,200,306,54,252,74,5,55,137,20,0.234631,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,1,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.1058260798890842,0.0484542224103324,7.430950901365402,14.396862928009034
val_S4_seed131,S4,131,5,200,50,150,50,2,29,200,306,54,252,74,5,55,2,1,0.991937,False,True,True,"[""H003""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.2,0,0,1,8,1,False,BETA_COHESION_FAILURE,0.0,0.0,0.1058260798890842,0.0484542224103324,7.430950901365402,14.396862928009034
val_S4_seed131,S4,131,5,200,50,150,50,2,29,200,306,54,252,74,5,55,2,1,0.990628,False,True,True,"[""C006""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,14,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.1058260798890842,0.0484542224103324,7.430950901365402,14.396862928009034
val_S4_seed131,S4,131,5,200,50,150,50,2,29,200,306,54,252,74,5,55,2,1,0.997632,False,True,True,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,29,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.1058260798890842,0.0484542224103324,7.430950901365402,14.396862928009034
val_S4_seed131,S4,131,5,200,50,150,50,2,29,200,306,54,252,74,5,55,2,1,0.991638,False,True,True,"[""K018""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,36,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.1058260798890842,0.0484542224103324,7.430950901365402,14.396862928009034
val_S4_seed137,S4,137,5,200,50,150,50,1,31,200,287,60,227,80,1,81,119,20,0.251682,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,12,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.1210079894495429,0.0212272003647813,5.928393024834139,16.927107592630385
val_S4_seed149,S4,149,5,200,50,150,50,3,29,200,272,34,238,68,3,48,148,20,0.280245,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,9,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.0934661636754171,0.0493645950129516,8.075171800012491,16.710173238754273
val_S4_seed149,S4,149,5,200,50,150,50,3,29,200,272,34,238,68,3,48,2,1,0.995883,False,True,True,"[""C008""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,26,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0934661636754171,0.0493645950129516,8.075171800012491,16.710173238754273
val_S4_seed149,S4,149,5,200,50,150,50,3,29,200,272,34,238,68,3,48,2,1,0.986773,False,True,True,"[""C008""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,27,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0934661636754171,0.0493645950129516,8.075171800012491,16.710173238754273
val_S4_seed157,S4,157,5,200,50,150,50,5,25,200,247,47,200,83,4,54,140,20,0.127821,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,3,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.0939264005444711,0.0066656429992186,6.336227617291163,12.851811916828156
val_S4_seed157,S4,157,5,200,50,150,50,5,25,200,247,47,200,83,4,54,2,1,0.996243,False,True,True,"[""C008""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,26,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0939264005444711,0.0066656429992186,6.336227617291163,12.851811916828156
val_S4_seed157,S4,157,5,200,50,150,50,5,25,200,247,47,200,83,4,54,2,1,0.999186,False,True,True,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,27,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0939264005444711,0.0066656429992186,6.336227617291163,12.851811916828156
val_S4_seed157,S4,157,5,200,50,150,50,5,25,200,247,47,200,83,4,54,2,1,0.989696,False,True,True,"[""K019""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,34,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0939264005444711,0.0066656429992186,6.336227617291163,12.851811916828156
val_S4_seed163,S4,163,5,200,50,150,50,5,29,200,284,46,238,70,1,70,130,20,0.174108,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,2,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.1013943039921578,0.0382004005445023,6.906140650300955,18.74047764453888
val_S4_seed179,S4,179,5,200,50,150,50,5,30,200,267,52,215,86,5,88,100,20,0.248151,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,3,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.0809251125545452,0.0178062605471502,6.243790188927432,13.940895706748964
val_S4_seed179,S4,179,5,200,50,150,50,5,30,200,267,52,215,86,5,88,5,3,0.464178,True,False,True,"[""K016"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,4,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0809251125545452,0.0178062605471502,6.243790188927432,13.940895706748964
val_S4_seed179,S4,179,5,200,50,150,50,5,30,200,267,52,215,86,5,88,2,1,0.992058,False,True,True,"[""C007""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,17,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0809251125545452,0.0178062605471502,6.243790188927432,13.940895706748964
val_S4_seed179,S4,179,5,200,50,150,50,5,30,200,267,52,215,86,5,88,3,1,0.986237,False,True,True,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,19,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0809251125545452,0.0178062605471502,6.243790188927432,13.940895706748964
val_S4_seed179,S4,179,5,200,50,150,50,5,30,200,267,52,215,86,5,88,2,1,0.99205,False,True,True,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,20,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0809251125545452,0.0178062605471502,6.243790188927432,13.940895706748964
val_S4_seed181,S4,181,5,200,50,150,50,5,31,200,295,47,248,77,2,76,122,20,0.190325,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,3,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.133526308970293,0.0288115299558495,6.631134422167527,13.824164926481249
val_S4_seed181,S4,181,5,200,50,150,50,5,31,200,295,47,248,77,2,76,2,1,0.989019,False,True,True,"[""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,32,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.133526308970293,0.0288115299558495,6.631134422167527,13.824164926481249
val_S4_seed191,S4,191,5,200,50,150,50,5,29,200,247,42,205,75,4,55,139,20,0.185219,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,2,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.0985564908076339,0.0167744576685924,5.749210876825512,13.464550150966645
val_S4_seed191,S4,191,5,200,50,150,50,5,29,200,247,42,205,75,4,55,2,1,0.990882,False,True,True,"[""H011""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,23,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0985564908076339,0.0167744576685924,5.749210876825512,13.464550150966645
val_S4_seed191,S4,191,5,200,50,150,50,5,29,200,247,42,205,75,4,55,2,1,0.990436,False,True,True,"[""H012""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,25,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0985564908076339,0.0167744576685924,5.749210876825512,13.464550150966645
val_S4_seed191,S4,191,5,200,50,150,50,5,29,200,247,42,205,75,4,55,2,1,0.99853,False,True,True,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,30,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.0985564908076339,0.0167744576685924,5.749210876825512,13.464550150966645
val_S4_seed193,S4,193,5,200,50,150,50,4,30,200,294,56,238,80,3,73,123,20,0.206653,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,2,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.1212710841282387,0.0281387247328245,6.988166821661348,13.93574934296608
val_S4_seed193,S4,193,5,200,50,150,50,4,30,200,294,56,238,80,3,73,2,1,0.997592,False,True,True,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,25,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.1212710841282387,0.0281387247328245,6.988166821661348,13.93574934296608
val_S4_seed193,S4,193,5,200,50,150,50,4,30,200,294,56,238,80,3,73,2,1,0.994066,False,True,True,"[""K016""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,26,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.1212710841282387,0.0281387247328245,6.988166821661348,13.93574934296608
val_S4_seed197,S4,197,5,200,50,150,50,4,28,200,269,43,226,70,2,52,2,1,0.997461,False,True,True,"[""K004""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.2,0,0,1,14,1,False,BETA_COHESION_FAILURE,0.0,0.0,0.1426092636291214,0.0191054412991929,5.596413190109389,14.241667830181122
val_S4_seed197,S4,197,5,200,50,150,50,4,28,200,269,43,226,70,2,52,146,20,0.229168,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,15,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.1426092636291214,0.0191054412991929,5.596413190109389,14.241667830181122
