descriptor_id,vehicle_id,rank,neighbour_descriptor_id,neighbour_vehicle_id,cosine_similarity,same_vehicle
EVT-CHV-002743,Chevrolet,10,EVT-CHV-002872,Chevrolet,0.999504,1
EVT-CHV-002743,Chevrolet,11,EVT-CHV-003284,Chevrolet,0.999497,1
EVT-CHV-002743,Chevrolet,12,EVT-CHV-003808,Chevrolet,0.999491,1
EVT-CHV-002743,Chevrolet,13,EVT-CHV-002826,Chevrolet,0.999484,1
EVT-CHV-002743,Chevrolet,14,EVT-CHV-003298,Chevrolet,0.999484,1
EVT-CHV-002743,Chevrolet,15,EVT-CHV-003192,Chevrolet,0.999479,1
EVT-CHV-002744,Chevrolet,1,EVT-CHV-002983,Chevrolet,0.999872,1
EVT-CHV-002744,Chevrolet,2,EVT-CHV-003029,Chevrolet,0.999829,1
EVT-CHV-002744,Chevrolet,3,EVT-CHV-003870,Chevrolet,0.99981,1
EVT-CHV-002744,Chevrolet,4,EVT-CHV-002891,Chevrolet,0.999804,1
EVT-CHV-002744,Chevrolet,5,EVT-CHV-002845,Chevrolet,0.999757,1
EVT-CHV-002744,Chevrolet,6,EVT-CHV-002790,Chevrolet,0.99974,1
EVT-CHV-002744,Chevrolet,7,EVT-CHV-002799,Chevrolet,0.999736,1
EVT-CHV-002744,Chevrolet,8,EVT-CHV-002937,Chevrolet,0.999714,1
EVT-CHV-002744,Chevrolet,9,EVT-CHV-002836,Chevrolet,0.999711,1
EVT-CHV-002744,Chevrolet,10,EVT-CHV-003360,Chevrolet,0.9997,1
EVT-CHV-002744,Chevrolet,11,EVT-CHV-003778,Chevrolet,0.999653,1
EVT-CHV-002744,Chevrolet,12,EVT-CHV-003268,Chevrolet,0.999639,1
EVT-CHV-002744,Chevrolet,13,EVT-CHV-003075,Chevrolet,0.999633,1
EVT-CHV-002744,Chevrolet,14,EVT-CHV-003824,Chevrolet,0.999624,1
EVT-CHV-002744,Chevrolet,15,EVT-CHV-003915,Chevrolet,0.999608,1
EVT-CHV-002745,Chevrolet,1,EVT-CHV-002791,Chevrolet,0.999865,1
EVT-CHV-002745,Chevrolet,2,EVT-CHV-002892,Chevrolet,0.999846,1
EVT-CHV-002745,Chevrolet,3,EVT-CHV-003030,Chevrolet,0.999823,1
EVT-CHV-002745,Chevrolet,4,EVT-CHV-002938,Chevrolet,0.999791,1
EVT-CHV-002745,Chevrolet,5,EVT-CHV-002777,Chevrolet,0.999721,1
EVT-CHV-002745,Chevrolet,6,EVT-CHV-002916,Chevrolet,0.99972,1
EVT-CHV-002745,Chevrolet,7,EVT-CHV-002837,Chevrolet,0.999709,1
EVT-CHV-002745,Chevrolet,8,EVT-CHV-002846,Chevrolet,0.999691,1
EVT-CHV-002745,Chevrolet,9,EVT-CHV-002769,Chevrolet,0.999687,1
EVT-CHV-002745,Chevrolet,10,EVT-CHV-003177,Chevrolet,0.999676,1
EVT-CHV-002745,Chevrolet,11,EVT-CHV-003269,Chevrolet,0.999663,1
EVT-CHV-002745,Chevrolet,12,EVT-CHV-002984,Chevrolet,0.999662,1
EVT-CHV-002745,Chevrolet,13,EVT-CHV-003140,Chevrolet,0.999657,1
EVT-CHV-002745,Chevrolet,14,EVT-CHV-003169,Chevrolet,0.999646,1
EVT-CHV-002745,Chevrolet,15,EVT-CHV-003076,Chevrolet,0.999639,1
EVT-CHV-002746,Chevrolet,1,EVT-CHV-002934,Chevrolet,0.999736,1
EVT-CHV-002746,Chevrolet,2,EVT-CHV-002777,Chevrolet,0.999643,1
EVT-CHV-002746,Chevrolet,3,EVT-CHV-002801,Chevrolet,0.999635,1
EVT-CHV-002746,Chevrolet,4,EVT-CHV-003826,Chevrolet,0.999606,1
EVT-CHV-002746,Chevrolet,5,EVT-CHV-002893,Chevrolet,0.999602,1
EVT-CHV-002746,Chevrolet,6,EVT-CHV-003232,Chevrolet,0.9996,1
EVT-CHV-002746,Chevrolet,7,EVT-CHV-003169,Chevrolet,0.999592,1
EVT-CHV-002746,Chevrolet,8,EVT-CHV-002985,Chevrolet,0.999581,1
EVT-CHV-002746,Chevrolet,9,EVT-CHV-002961,Chevrolet,0.99958,1
EVT-CHV-002746,Chevrolet,10,EVT-CHV-003122,Chevrolet,0.999533,1
EVT-CHV-002746,Chevrolet,11,EVT-CHV-002993,Chevrolet,0.999533,1
EVT-CHV-002746,Chevrolet,12,EVT-CHV-002975,Chevrolet,0.999529,1
EVT-CHV-002746,Chevrolet,13,EVT-CHV-002916,Chevrolet,0.999524,1
EVT-CHV-002746,Chevrolet,14,EVT-CHV-002754,Chevrolet,0.99952,1
EVT-CHV-002746,Chevrolet,15,EVT-CHV-002823,Chevrolet,0.999493,1
EVT-CHV-002747,Chevrolet,1,EVT-CHV-002839,Chevrolet,0.99972,1
EVT-CHV-002747,Chevrolet,2,EVT-CHV-002885,Chevrolet,0.999556,1
EVT-CHV-002747,Chevrolet,3,EVT-CHV-004422,Chevrolet,0.999528,1
EVT-CHV-002747,Chevrolet,4,EVT-CHV-004399,Chevrolet,0.999491,1
EVT-CHV-002747,Chevrolet,5,EVT-CHV-002986,Chevrolet,0.999466,1
EVT-CHV-002747,Chevrolet,6,EVT-CHV-002793,Chevrolet,0.999464,1
EVT-CHV-002747,Chevrolet,7,EVT-CHV-003317,Chevrolet,0.999427,1
EVT-CHV-002747,Chevrolet,8,EVT-CHV-002894,Chevrolet,0.999415,1
EVT-CHV-002747,Chevrolet,9,EVT-CHV-003781,Chevrolet,0.99937,1
EVT-CHV-002747,Chevrolet,10,EVT-CHV-003882,Chevrolet,0.999347,1
EVT-CHV-002747,Chevrolet,11,EVT-CHV-002931,Chevrolet,0.999309,1
EVT-CHV-002747,Chevrolet,12,EVT-CHV-003023,Chevrolet,0.999305,1
EVT-CHV-002747,Chevrolet,13,EVT-CHV-002940,Chevrolet,0.999299,1
EVT-CHV-002747,Chevrolet,14,EVT-CHV-002977,Chevrolet,0.999287,1
EVT-CHV-002747,Chevrolet,15,EVT-CHV-002802,Chevrolet,0.999269,1
EVT-CHV-002748,Chevrolet,1,EVT-CHV-004423,Chevrolet,0.999867,1
EVT-CHV-002748,Chevrolet,2,EVT-CHV-002886,Chevrolet,0.999824,1
EVT-CHV-002748,Chevrolet,3,EVT-CHV-002977,Chevrolet,0.999818,1
EVT-CHV-002748,Chevrolet,4,EVT-CHV-002986,Chevrolet,0.999812,1
EVT-CHV-002748,Chevrolet,5,EVT-CHV-003253,Chevrolet,0.999811,1
EVT-CHV-002748,Chevrolet,6,EVT-CHV-003124,Chevrolet,0.999781,1
EVT-CHV-002748,Chevrolet,7,EVT-CHV-003125,Chevrolet,0.999759,1
EVT-CHV-002748,Chevrolet,8,EVT-CHV-002978,Chevrolet,0.999739,1
EVT-CHV-002748,Chevrolet,9,EVT-CHV-004422,Chevrolet,0.999723,1
EVT-CHV-002748,Chevrolet,10,EVT-CHV-002987,Chevrolet,0.999719,1
EVT-CHV-002748,Chevrolet,11,EVT-CHV-003391,Chevrolet,0.999711,1
EVT-CHV-002748,Chevrolet,12,EVT-CHV-003155,Chevrolet,0.999701,1
EVT-CHV-002748,Chevrolet,13,EVT-CHV-003873,Chevrolet,0.999698,1
EVT-CHV-002748,Chevrolet,14,EVT-CHV-003809,Chevrolet,0.999695,1
EVT-CHV-002748,Chevrolet,15,EVT-CHV-003855,Chevrolet,0.999691,1
EVT-CHV-002749,Chevrolet,1,EVT-CHV-003319,Chevrolet,0.999735,1
EVT-CHV-002749,Chevrolet,2,EVT-CHV-002804,Chevrolet,0.999734,1
EVT-CHV-002749,Chevrolet,3,EVT-CHV-002754,Chevrolet,0.999608,1
EVT-CHV-002749,Chevrolet,4,EVT-CHV-002837,Chevrolet,0.999584,1
EVT-CHV-002749,Chevrolet,5,EVT-CHV-002841,Chevrolet,0.999583,1
EVT-CHV-002749,Chevrolet,6,EVT-CHV-003995,Chevrolet,0.99958,1
EVT-CHV-002749,Chevrolet,7,EVT-CHV-002933,Chevrolet,0.999574,1
EVT-CHV-002749,Chevrolet,8,EVT-CHV-003223,Chevrolet,0.999571,1
EVT-CHV-002749,Chevrolet,9,EVT-CHV-002850,Chevrolet,0.999565,1
EVT-CHV-002749,Chevrolet,10,EVT-CHV-002896,Chevrolet,0.999556,1
EVT-CHV-002749,Chevrolet,11,EVT-CHV-003972,Chevrolet,0.999549,1
EVT-CHV-002749,Chevrolet,12,EVT-CHV-003324,Chevrolet,0.99954,1
EVT-CHV-002749,Chevrolet,13,EVT-CHV-002916,Chevrolet,0.999534,1
EVT-CHV-002749,Chevrolet,14,EVT-CHV-003085,Chevrolet,0.999525,1
EVT-CHV-002749,Chevrolet,15,EVT-CHV-003278,Chevrolet,0.999524,1
EVT-CHV-002750,Chevrolet,1,EVT-CHV-003320,Chevrolet,0.999898,1
EVT-CHV-002750,Chevrolet,2,EVT-CHV-003811,Chevrolet,0.999806,1
EVT-CHV-002750,Chevrolet,3,EVT-CHV-003835,Chevrolet,0.999772,1
EVT-CHV-002750,Chevrolet,4,EVT-CHV-003876,Chevrolet,0.999769,1
EVT-CHV-002750,Chevrolet,5,EVT-CHV-003885,Chevrolet,0.999767,1
EVT-CHV-002750,Chevrolet,6,EVT-CHV-003375,Chevrolet,0.999766,1
EVT-CHV-002750,Chevrolet,7,EVT-CHV-003830,Chevrolet,0.999758,1
EVT-CHV-002750,Chevrolet,8,EVT-CHV-003164,Chevrolet,0.999749,1
EVT-CHV-002750,Chevrolet,9,EVT-CHV-003807,Chevrolet,0.999747,1
EVT-CHV-002750,Chevrolet,10,EVT-CHV-002764,Chevrolet,0.999742,1
EVT-CHV-002750,Chevrolet,11,EVT-CHV-003857,Chevrolet,0.999738,1
EVT-CHV-002750,Chevrolet,12,EVT-CHV-003343,Chevrolet,0.999738,1
EVT-CHV-002750,Chevrolet,13,EVT-CHV-003232,Chevrolet,0.99973,1
EVT-CHV-002750,Chevrolet,14,EVT-CHV-002888,Chevrolet,0.999717,1
EVT-CHV-002750,Chevrolet,15,EVT-CHV-003991,Chevrolet,0.999717,1
EVT-CHV-002751,Chevrolet,1,EVT-CHV-003321,Chevrolet,0.999887,1
EVT-CHV-002751,Chevrolet,2,EVT-CHV-003128,Chevrolet,0.999743,1
EVT-CHV-002751,Chevrolet,3,EVT-CHV-003082,Chevrolet,0.999736,1
EVT-CHV-002751,Chevrolet,4,EVT-CHV-002889,Chevrolet,0.999707,1
EVT-CHV-002751,Chevrolet,5,EVT-CHV-002944,Chevrolet,0.999684,1
EVT-CHV-002751,Chevrolet,6,EVT-CHV-003183,Chevrolet,0.999619,1
EVT-CHV-002751,Chevrolet,7,EVT-CHV-002990,Chevrolet,0.999618,1
EVT-CHV-002751,Chevrolet,8,EVT-CHV-003229,Chevrolet,0.999592,1
EVT-CHV-002751,Chevrolet,9,EVT-CHV-003275,Chevrolet,0.999589,1
EVT-CHV-002751,Chevrolet,10,EVT-CHV-002898,Chevrolet,0.999544,1
EVT-CHV-002751,Chevrolet,11,EVT-CHV-003367,Chevrolet,0.999516,1
EVT-CHV-002751,Chevrolet,12,EVT-CHV-003256,Chevrolet,0.999511,1
EVT-CHV-002751,Chevrolet,13,EVT-CHV-003166,Chevrolet,0.999454,1
EVT-CHV-002751,Chevrolet,14,EVT-CHV-003171,Chevrolet,0.999432,1
EVT-CHV-002751,Chevrolet,15,EVT-CHV-003376,Chevrolet,0.999424,1
EVT-CHV-002752,Chevrolet,1,EVT-CHV-002890,Chevrolet,0.999764,1
EVT-CHV-002752,Chevrolet,2,EVT-CHV-002872,Chevrolet,0.999755,1
EVT-CHV-002752,Chevrolet,3,EVT-CHV-002826,Chevrolet,0.999671,1
EVT-CHV-002752,Chevrolet,4,EVT-CHV-003920,Chevrolet,0.999668,1
EVT-CHV-002752,Chevrolet,5,EVT-CHV-002743,Chevrolet,0.999666,1
EVT-CHV-002752,Chevrolet,6,EVT-CHV-002982,Chevrolet,0.999644,1
EVT-CHV-002752,Chevrolet,7,EVT-CHV-002780,Chevrolet,0.999636,1
EVT-CHV-002752,Chevrolet,8,EVT-CHV-002779,Chevrolet,0.999588,1
EVT-CHV-002752,Chevrolet,9,EVT-CHV-003387,Chevrolet,0.999576,1
EVT-CHV-002752,Chevrolet,10,EVT-CHV-002918,Chevrolet,0.999539,1
EVT-CHV-002752,Chevrolet,11,EVT-CHV-003897,Chevrolet,0.999538,1
EVT-CHV-002752,Chevrolet,12,EVT-CHV-003827,Chevrolet,0.999524,1
EVT-CHV-002752,Chevrolet,13,EVT-CHV-003055,Chevrolet,0.999511,1
EVT-CHV-002752,Chevrolet,14,EVT-CHV-003832,Chevrolet,0.999495,1
EVT-CHV-002752,Chevrolet,15,EVT-CHV-003111,Chevrolet,0.999483,1
EVT-CHV-002753,Chevrolet,1,EVT-CHV-003934,Chevrolet,0.999875,1
EVT-CHV-002753,Chevrolet,2,EVT-CHV-003888,Chevrolet,0.999814,1
EVT-CHV-002753,Chevrolet,3,EVT-CHV-002845,Chevrolet,0.999757,1
EVT-CHV-002753,Chevrolet,4,EVT-CHV-002956,Chevrolet,0.99975,1
