run_id,test_condition,seed,similarity_threshold,max_cross_vehicle_neighbors,max_same_vehicle_neighbors,unique_edges,campaign_precision,campaign_recall,campaign_f1,membership_precision,fragmentation,incorrect_merging,false_campaign_rate,graph_build_time,gnn_inference_time,end_to_end_latency,peak_memory
edge_Strong_Coordinated_Campaign_seed37_tau0.85_k20,Strong Coordinated Campaign,37,0.85,20,2,1371.0,1.0,1.0,1.0,1.0,0,0,0.0,0.19594158395193517,0.09941812499891967,0.41386933298781514,1.498520851135254
edge_Strong_Coordinated_Campaign_seed37_tau0.90_k3,Strong Coordinated Campaign,37,0.9,3,2,475.0,1.0,1.0,1.0,1.0,0,0,0.0,0.10904062492772937,0.07246845902409405,0.2600244159111753,1.2517385482788086
edge_Strong_Coordinated_Campaign_seed37_tau0.90_k5,Strong Coordinated Campaign,37,0.9,5,2,580.0,1.0,1.0,1.0,1.0,0,0,0.0,0.11259050003718585,0.07807108305860311,0.27412099996581674,1.2706718444824219
edge_Strong_Coordinated_Campaign_seed37_tau0.90_k10,Strong Coordinated Campaign,37,0.9,10,2,770.0,1.0,1.0,1.0,1.0,0,0,0.0,0.13469529105350375,0.07831445802003145,0.30607562500517815,1.3302803039550781
edge_Strong_Coordinated_Campaign_seed37_tau0.90_k20,Strong Coordinated Campaign,37,0.9,20,2,1076.0,0.5,1.0,0.6666666666666666,0.5,1,0,1.0,0.1801425829762593,0.09174016700126231,0.3764015829656273,1.4173250198364258
edge_Strong_Coordinated_Campaign_seed37_tau0.95_k3,Strong Coordinated Campaign,37,0.95,3,2,341.0,1.0,1.0,1.0,0.8333333333333334,0,0,0.0,0.1000414170557633,0.07107750000432134,0.248450958984904,1.216263771057129
edge_Strong_Coordinated_Campaign_seed37_tau0.95_k5,Strong Coordinated Campaign,37,0.95,5,2,422.0,1.0,1.0,1.0,1.0,0,0,0.0,0.11213054100517184,0.07281470799352974,0.2602355839917436,1.2345781326293945
edge_Strong_Coordinated_Campaign_seed37_tau0.95_k10,Strong Coordinated Campaign,37,0.95,10,2,590.0,1.0,1.0,1.0,1.0,0,0,0.0,0.13088354095816612,0.0757337500108406,0.2889743749983609,1.2855596542358398
edge_Strong_Coordinated_Campaign_seed37_tau0.95_k20,Strong Coordinated Campaign,37,0.95,20,2,856.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1779617079300806,0.08073395804967731,0.3506935420446098,1.3595390319824219
edge_Strong_Coordinated_Campaign_seed41_tau0.75_k3,Strong Coordinated Campaign,41,0.75,3,2,670.0,1.0,1.0,1.0,0.7142857142857143,0,0,0.0,0.10471650003455579,0.08060287497937679,0.27897274994757026,1.299515724182129
edge_Strong_Coordinated_Campaign_seed41_tau0.75_k5,Strong Coordinated Campaign,41,0.75,5,2,912.0,1.0,1.0,1.0,0.8333333333333334,0,0,0.0,0.12161412497516721,0.08934425003826618,0.3072793340543285,1.3651151657104492
edge_Strong_Coordinated_Campaign_seed41_tau0.75_k10,Strong Coordinated Campaign,41,0.75,10,2,1368.0,0.0,0.0,0.0,0.0,0,0,0.0,0.14091483398806304,0.09132137498818338,0.3421814589528367,1.4889698028564453
edge_Strong_Coordinated_Campaign_seed41_tau0.75_k20,Strong Coordinated Campaign,41,0.75,20,2,1886.0,0.0,0.0,0.0,0.0,0,0,0.0,0.19058191706426442,0.09324329206719995,0.4090572090353817,1.7977352142333984
edge_Strong_Coordinated_Campaign_seed41_tau0.80_k3,Strong Coordinated Campaign,41,0.8,3,2,644.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.10328258399385959,0.0778019999852404,0.26119887502864003,1.293482780456543
edge_Strong_Coordinated_Campaign_seed41_tau0.80_k5,Strong Coordinated Campaign,41,0.8,5,2,857.0,0.0,0.0,0.0,0.0,0,0,0.0,0.11448770796414465,0.07995166699402034,0.28468966705258936,1.3541975021362305
edge_Strong_Coordinated_Campaign_seed41_tau0.80_k10,Strong Coordinated Campaign,41,0.8,10,2,1205.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.14177441701758653,0.08966558298561722,0.33816233300603926,1.446197509765625
edge_Strong_Coordinated_Campaign_seed41_tau0.80_k20,Strong Coordinated Campaign,41,0.8,20,2,1643.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1900742918951437,0.0909574170364067,0.40679375000763685,1.6478424072265625
edge_Strong_Coordinated_Campaign_seed41_tau0.85_k3,Strong Coordinated Campaign,41,0.85,3,2,576.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.10183933307416737,0.07896291697397828,0.2607899160357192,1.277104377746582
edge_Strong_Coordinated_Campaign_seed41_tau0.85_k5,Strong Coordinated Campaign,41,0.85,5,2,747.0,0.5,1.0,0.6666666666666666,0.45454545454545453,1,0,1.0,0.11689716705586761,0.08202583307866007,0.2878881669603288,1.3164339065551758
edge_Strong_Coordinated_Campaign_seed41_tau0.85_k10,Strong Coordinated Campaign,41,0.85,10,2,996.0,1.0,1.0,1.0,1.0,0,0,0.0,0.14494270901195705,0.09150629199575633,0.3316650000633672,1.3903388977050781
edge_Strong_Coordinated_Campaign_seed41_tau0.85_k20,Strong Coordinated Campaign,41,0.85,20,2,1371.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1821633749641478,0.09157295897603035,0.38295016600750387,1.498769760131836
edge_Strong_Coordinated_Campaign_seed41_tau0.90_k3,Strong Coordinated Campaign,41,0.9,3,2,475.0,1.0,1.0,1.0,0.0,0,0,0.0,0.19942254107445478,0.08693849993869662,0.3653276249533519,1.251164436340332
edge_Strong_Coordinated_Campaign_seed41_tau0.90_k5,Strong Coordinated Campaign,41,0.9,5,2,580.0,0.0,0.0,0.0,0.0,0,0,0.0,0.10990804200991988,0.0782301250146702,0.2675854170229286,1.2713565826416016
edge_Strong_Coordinated_Campaign_seed41_tau0.90_k10,Strong Coordinated Campaign,41,0.9,10,2,770.0,0.0,0.0,0.0,0.0,0,0,0.0,0.13419429201167077,0.07984070805832744,0.30264549993444234,1.331812858581543
edge_Strong_Coordinated_Campaign_seed41_tau0.90_k20,Strong Coordinated Campaign,41,0.9,20,2,1076.0,0.0,0.0,0.0,0.0,0,0,0.0,0.18028279102873057,0.0889196670614183,0.3706248749513179,1.4185056686401367
edge_Strong_Coordinated_Campaign_seed41_tau0.95_k3,Strong Coordinated Campaign,41,0.95,3,2,341.0,1.0,1.0,1.0,1.0,0,0,0.0,0.10132800007704645,0.07215145800728351,0.24859645799733698,1.2157411575317383
edge_Strong_Coordinated_Campaign_seed41_tau0.95_k5,Strong Coordinated Campaign,41,0.95,5,2,422.0,1.0,1.0,1.0,1.0,0,0,0.0,0.11269458301831037,0.07539925002492964,0.2678560829954222,1.2302026748657227
edge_Strong_Coordinated_Campaign_seed41_tau0.95_k10,Strong Coordinated Campaign,41,0.95,10,2,590.0,1.0,1.0,1.0,1.0,0,0,0.0,0.14146795799024403,0.0835501248948276,0.31329883297439665,1.2853031158447266
edge_Strong_Coordinated_Campaign_seed41_tau0.95_k20,Strong Coordinated Campaign,41,0.95,20,2,856.0,1.0,1.0,1.0,1.0,0,0,0.0,0.18928095803130418,0.08016304101329297,0.36239129200112075,1.3592548370361328
edge_Strong_Coordinated_Campaign_seed53_tau0.75_k3,Strong Coordinated Campaign,53,0.75,3,2,670.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.10234079195652157,0.07950470794457942,0.2653345409780741,1.3006467819213867
edge_Strong_Coordinated_Campaign_seed53_tau0.75_k5,Strong Coordinated Campaign,53,0.75,5,2,912.0,0.5,1.0,0.6666666666666666,0.3333333333333333,1,0,1.0,0.11591758404392749,0.08202558406628668,0.2921076250495389,1.3645715713500977
edge_Strong_Coordinated_Campaign_seed53_tau0.75_k10,Strong Coordinated Campaign,53,0.75,10,2,1368.0,1.0,1.0,1.0,1.0,0,0,0.0,0.14486337511334568,0.09125804202631116,0.3437173339771107,1.4866981506347656
edge_Strong_Coordinated_Campaign_seed53_tau0.75_k20,Strong Coordinated Campaign,53,0.75,20,2,1886.0,0.0,0.0,0.0,0.0,0,0,0.0,0.19095533399377018,0.09177000005729496,0.4100995409535244,1.798492431640625
edge_Strong_Coordinated_Campaign_seed53_tau0.80_k3,Strong Coordinated Campaign,53,0.8,3,2,644.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.10419416602235287,0.0799292919691652,0.26763845898676664,1.2941875457763672
edge_Strong_Coordinated_Campaign_seed53_tau0.80_k5,Strong Coordinated Campaign,53,0.8,5,2,857.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.11548624990973622,0.08046950004063547,0.28278574999421835,1.3495063781738281
edge_Strong_Coordinated_Campaign_seed53_tau0.80_k10,Strong Coordinated Campaign,53,0.8,10,2,1205.0,1.0,1.0,1.0,1.0,0,0,0.0,0.13831554097123444,0.09398904105182737,0.3388908749911934,1.4470529556274414
edge_Strong_Coordinated_Campaign_seed53_tau0.80_k20,Strong Coordinated Campaign,53,0.8,20,2,1643.0,0.0,0.0,0.0,0.0,0,0,0.0,0.20419479196425527,0.1051217500353232,0.4310370000312105,1.64813232421875
edge_Strong_Coordinated_Campaign_seed53_tau0.85_k3,Strong Coordinated Campaign,53,0.85,3,2,576.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.1015522088855505,0.07898108405061066,0.26046008395496756,1.276193618774414
edge_Strong_Coordinated_Campaign_seed53_tau0.85_k5,Strong Coordinated Campaign,53,0.85,5,2,747.0,1.0,1.0,1.0,1.0,0,0,0.0,0.11431345902383327,0.08002829097677022,0.2794969589449465,1.3179636001586914
edge_Strong_Coordinated_Campaign_seed53_tau0.85_k10,Strong Coordinated Campaign,53,0.85,10,2,996.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.13452991598751396,0.08123495895415545,0.31056091701611876,1.3898344039916992
edge_Strong_Coordinated_Campaign_seed53_tau0.85_k20,Strong Coordinated Campaign,53,0.85,20,2,1371.0,1.0,1.0,1.0,1.0,0,0,0.0,0.18284908297937363,0.09129000001121312,0.38315308408346027,1.498046875
edge_Strong_Coordinated_Campaign_seed53_tau0.90_k3,Strong Coordinated Campaign,53,0.9,3,2,475.0,1.0,1.0,1.0,1.0,0,0,0.0,0.09986983297858387,0.07356162497308105,0.2482942088972777,1.2521085739135742
edge_Strong_Coordinated_Campaign_seed53_tau0.90_k5,Strong Coordinated Campaign,53,0.9,5,2,580.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.10986225004307926,0.08109337498899549,0.27152937499340624,1.271489143371582
edge_Strong_Coordinated_Campaign_seed53_tau0.90_k10,Strong Coordinated Campaign,53,0.9,10,2,770.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.13547324994578958,0.08086787501815706,0.3029648329829797,1.3310956954956055
edge_Strong_Coordinated_Campaign_seed53_tau0.90_k20,Strong Coordinated Campaign,53,0.9,20,2,1076.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.18627558404114097,0.09442520805168897,0.3831023749662563,1.4206409454345703
edge_Strong_Coordinated_Campaign_seed53_tau0.95_k3,Strong Coordinated Campaign,53,0.95,3,2,341.0,1.0,1.0,1.0,1.0,0,0,0.0,0.10474358289502561,0.07802854105830193,0.2469562499318272,1.217198371887207
edge_Strong_Coordinated_Campaign_seed53_tau0.95_k5,Strong Coordinated Campaign,53,0.95,5,2,422.0,1.0,1.0,1.0,1.0,0,0,0.0,0.10941645794082433,0.07121858291793615,0.2520133329089731,1.231156349182129
edge_Strong_Coordinated_Campaign_seed53_tau0.95_k10,Strong Coordinated Campaign,53,0.95,10,2,590.0,1.0,1.0,1.0,1.0,0,0,0.0,0.13198354199994355,0.07948329206556082,0.2946213750401512,1.2855606079101562
edge_Strong_Coordinated_Campaign_seed53_tau0.95_k20,Strong Coordinated Campaign,53,0.95,20,2,856.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1800370829878375,0.07846987503580749,0.35153245797846466,1.3620367050170898
edge_Strong_Coordinated_Campaign_seed67_tau0.75_k3,Strong Coordinated Campaign,67,0.75,3,2,670.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.10030475002713501,0.0790185829391703,0.2592254999326542,1.2998943328857422
edge_Strong_Coordinated_Campaign_seed67_tau0.75_k5,Strong Coordinated Campaign,67,0.75,5,2,912.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.11338008404709399,0.07996550004463643,0.2817766669904813,1.3639440536499023
edge_Strong_Coordinated_Campaign_seed67_tau0.75_k10,Strong Coordinated Campaign,67,0.75,10,2,1368.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.139736375072971,0.09202058403752744,0.3392707919701934,1.4892082214355469
edge_Strong_Coordinated_Campaign_seed67_tau0.75_k20,Strong Coordinated Campaign,67,0.75,20,2,1886.0,0.0,0.0,0.0,0.0,0,0,0.0,0.192568916012533,0.09147416695486754,0.42051095806527883,1.7977533340454102
edge_Strong_Coordinated_Campaign_seed67_tau0.80_k3,Strong Coordinated Campaign,67,0.8,3,2,644.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.11008391703944653,0.10081529093440622,0.2962648329557851,1.295273780822754
edge_Strong_Coordinated_Campaign_seed67_tau0.80_k5,Strong Coordinated Campaign,67,0.8,5,2,857.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.1269659580430016,0.08167799992952496,0.30066245899070054,1.349639892578125
edge_Strong_Coordinated_Campaign_seed67_tau0.80_k10,Strong Coordinated Campaign,67,0.8,10,2,1205.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.14111112500540912,0.0966616669902578,0.33982516708783805,1.4461669921875
edge_Strong_Coordinated_Campaign_seed67_tau0.80_k20,Strong Coordinated Campaign,67,0.8,20,2,1643.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1865572079550475,0.09307291591539979,0.39712362503632903,1.6491594314575195
edge_Strong_Coordinated_Campaign_seed67_tau0.85_k3,Strong Coordinated Campaign,67,0.85,3,2,576.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1021522079827264,0.07978204195387661,0.2660456250887364,1.2766551971435547
edge_Strong_Coordinated_Campaign_seed67_tau0.85_k5,Strong Coordinated Campaign,67,0.85,5,2,747.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.1120695830322802,0.07899383292533457,0.2777299591107294,1.3204450607299805
edge_Strong_Coordinated_Campaign_seed67_tau0.85_k10,Strong Coordinated Campaign,67,0.85,10,2,996.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.13562220800668,0.08167595800478011,0.3150382499443367,1.3895492553710938
