unique_edges,seed,similarity_threshold,max_cross_vehicle_neighbors,max_same_vehicle_neighbors,campaign_precision,campaign_recall,campaign_f1,membership_precision,fragmentation,incorrect_merging,false_campaign_rate,graph_build_time,gnn_inference_time,end_to_end_latency,peak_memory
591.0,58.4,0.75,3.0,2.0,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.10336602091556416,0.0819249832071364,0.25890467091230673,1.2801615715026855
600.0,58.4,0.95,20.0,2.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.18802077078726143,0.08044193318346515,0.3435081332689151,1.2882816314697265
643.0,58.4,0.85,5.0,2.0,0.5,0.6,0.5333333333333333,0.6,0.2,0.0,0.2,0.11378777080681175,0.0801387082086876,0.2717765957931988,1.2849716186523437
644.0,58.4,0.8,3.0,2.0,0.75,1.0,0.8333333333333333,0.6959706959706959,0.5,0.0,0.5,0.10452791261486709,0.09556540837511421,0.2843448500847444,1.2940855026245117
670.0,58.4,0.75,3.0,2.0,0.7333333333333333,1.0,0.8166666666666667,0.6614468864468865,0.5,0.0,0.5,0.10445174591150135,0.08149820398539305,0.27073584150057284,1.3008891105651856
680.0,58.4,0.9,10.0,2.0,0.6,0.7,0.6333333333333333,0.7,0.2,0.0,0.2,0.13610677097458393,0.0800748249865137,0.3187808708986267,1.308805561065674
720.0,58.4,0.8,5.0,2.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.12314017929602414,0.080809358402621,0.29414894580841067,1.3053880691528321
747.0,58.4,0.85,5.0,2.0,0.55,1.0,0.7,0.4568098568098568,0.9,0.0,0.9,0.11567455012118444,0.09478322061477229,0.29808961680391804,1.3174405097961426
770.0,58.4,0.9,10.0,2.0,0.65,0.9,0.7333333333333333,0.614044289044289,0.5,0.0,0.5,0.13728406241862104,0.08127463341224939,0.308390895917546,1.3313660621643066
775.0,58.4,0.75,5.0,2.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.12998114589136095,0.09424765830626711,0.30776020396733655,1.3226969718933106
856.0,58.4,0.95,20.0,2.0,1.0,1.0,1.0,0.9714285714285715,0.0,0.0,0.0,0.18193423717748375,0.08165738312527537,0.355745308380574,1.360079002380371
857.0,58.4,0.8,5.0,2.0,0.5,0.9,0.6333333333333333,0.3915750915750916,0.8,0.0,0.8,0.11761155829299241,0.0815087749157101,0.2913940793136135,1.3503278732299804
886.0,58.4,0.85,10.0,2.0,0.55,0.6,0.5666666666666667,0.6,0.1,0.0,0.1,0.1367448375094682,0.0810832082061097,0.31560065399389714,1.363156223297119
906.0,58.4,0.9,20.0,2.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.1846712623955682,0.08257066261721775,0.36495684997644273,1.3749811172485351
912.0,58.4,0.75,5.0,2.0,0.7,1.0,0.8,0.5983516483516483,0.6,0.0,0.6,0.11608802521368489,0.08245657101506368,0.30228593351785094,1.3652788162231446
996.0,58.4,0.85,10.0,2.0,0.5333333333333333,1.0,0.6833333333333333,0.4560085747585748,0.9,0.0,0.9,0.13897992499405518,0.08333895012037829,0.3190816668095067,1.3900362968444824
1037.0,58.4,0.8,10.0,2.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.14112490417901427,0.09105748347938061,0.3266744501888752,1.4030120849609375
1076.0,58.4,0.9,20.0,2.0,0.6,0.9,0.7,0.5672494172494172,0.6,0.0,0.6,0.18533697932725773,0.09897015430033207,0.38539454189594835,1.418721580505371
1159.0,58.4,0.75,10.0,2.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.14094099996145815,0.09069386260816828,0.3288744455901906,1.4420479774475097
1169.0,58.4,0.85,20.0,2.0,0.6,0.6,0.6,0.5,0.0,0.0,0.0,0.18395990009885282,0.09186228299513459,0.3742540498729795,1.4443183898925782
1205.0,58.4,0.8,10.0,2.0,0.45,0.7,0.5333333333333333,0.3880952380952381,0.5,0.0,0.5,0.15309086659690366,0.09526022090576589,0.3537549709202722,1.446513557434082
1368.0,58.4,0.75,10.0,2.0,0.35,0.5,0.4,0.30817307692307694,0.3,0.0,0.3,0.14135064171859996,0.09246202488429844,0.34276368749560787,1.4887873649597168
1371.0,58.4,0.85,20.0,2.0,0.4,0.6,0.4666666666666666,0.3510989010989011,0.4,0.0,0.4,0.18699879178311676,0.09385560848750174,0.39298429160844534,1.4979580879211425
1436.0,58.4,0.8,20.0,2.0,0.65,0.7,0.6666666666666667,0.44545454545454544,0.1,0.0,0.1,0.18770229582441972,0.09305655851494521,0.40104114580899475,1.5181402206420898
1643.0,58.4,0.8,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18963662490714342,0.09472956662066281,0.4055089456029236,1.6486225128173828
1697.0,58.4,0.75,20.0,2.0,0.65,0.7,0.6666666666666667,0.65,0.1,0.0,0.1,0.19000920417020098,0.0923931125085801,0.3973151500103995,1.6825772285461427
1886.0,58.4,0.75,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1918618208146654,0.09446530418936164,0.4177287500118837,1.7969894409179688
