seed,scenario,method,modes,n_pred,n_matched,clusters_json
53,strong_campaign,M4,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 72, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 33, ""-1"": 39}, ""cohesion_9d"": 0.9999829639903899, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.3707865168539326, ""passed_gate"": true}]"
53,weak_campaign,M2,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 87, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 32, ""-1"": 55}, ""cohesion_9d"": 0.9999899009429188, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.3047619047619048, ""passed_gate"": true}]"
53,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 198, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 49, ""-1"": 149}, ""cohesion_9d"": 0.9999868114337421, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.24623115577889448, ""passed_gate"": true}]"
53,weak_campaign,M4,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 82, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 19, ""gt_composition"": {""0"": 31, ""-1"": 51}, ""cohesion_9d"": 0.9999895616341904, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.3069306930693069, ""passed_gate"": true}]"
67,strong_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 70, ""vehicles"": [""veh_01"", ""veh_02"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 18, ""gt_composition"": {""0"": 7, ""-1"": 63}, ""cohesion_9d"": 0.9999909515707752, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.061946902654867256, ""passed_gate"": true}]"
67,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 195, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 48, ""-1"": 147}, ""cohesion_9d"": 0.999988322149015, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2436548223350254, ""passed_gate"": true}]"
67,strong_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 78, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 23, ""-1"": 55}, ""cohesion_9d"": 0.999989161890747, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.21904761904761905, ""passed_gate"": true}]"
67,weak_campaign,M2,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 72, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 19, ""gt_composition"": {""0"": 36, ""-1"": 36}, ""cohesion_9d"": 0.9999884530863704, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.4186046511627907, ""passed_gate"": true}]"
67,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 194, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 48, ""-1"": 146}, ""cohesion_9d"": 0.9999864998623937, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.24489795918367346, ""passed_gate"": true}]"
67,weak_campaign,M4,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 188, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 49, ""-1"": 139}, ""cohesion_9d"": 0.9999867003714021, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.25925925925925924, ""passed_gate"": true}]"
71,strong_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 71, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 19, ""gt_composition"": {""0"": 8, ""-1"": 63}, ""cohesion_9d"": 0.9999884517850037, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.07079646017699115, ""passed_gate"": true}]"
