seed,scenario,dbscan_id,size,vehicles,n_vehicles,gt_composition,cohesion,cross_vehicle,gate_passed_pre_merge,gate_fail_reasons,best_jaccard_vs_gt,best_gt_id,in_final_gated
23,strong_campaign,7,5,"[""veh_05"", ""veh_07"", ""veh_10"", ""veh_14"", ""veh_17""]",5,"{""-1"": 5}",0.999999718871903,True,True,[],0.0,-1,True
23,strong_campaign,8,4,"[""veh_06"", ""veh_14"", ""veh_18"", ""veh_19""]",4,"{""-1"": 4}",0.9999995782784156,True,True,[],0.0,-1,True
23,strong_campaign,9,27,"[""veh_06"", ""veh_07"", ""veh_09"", ""veh_10"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18""]",11,"{""-1"": 27}",0.9999992479716221,True,True,[],0.0,-1,True
23,strong_campaign,10,3,"[""veh_07"", ""veh_15""]",2,"{""-1"": 3}",0.9999994034333398,True,True,[],0.0,-1,True
23,strong_campaign,11,2,"[""veh_07"", ""veh_19""]",2,"{""-1"": 2}",0.9999997920951036,True,True,[],0.0,-1,True
23,strong_campaign,12,3,"[""veh_08"", ""veh_11"", ""veh_19""]",3,"{""-1"": 3}",0.9999997252004068,True,True,[],0.0,-1,True
23,strong_campaign,13,2,"[""veh_08"", ""veh_12""]",2,"{""-1"": 2}",0.9999997192930724,True,True,[],0.0,-1,True
23,strong_campaign,14,3,"[""veh_08"", ""veh_11"", ""veh_17""]",3,"{""-1"": 3}",0.9999995924292007,True,True,[],0.0,-1,True
23,strong_campaign,15,2,"[""veh_09"", ""veh_12""]",2,"{""-1"": 2}",0.999999244398047,True,True,[],0.0,-1,True
23,strong_campaign,16,2,"[""veh_10"", ""veh_14""]",2,"{""-1"": 2}",0.9999999319123383,True,True,[],0.0,-1,True
23,strong_campaign,17,4,"[""veh_10"", ""veh_17"", ""veh_19""]",3,"{""-1"": 4}",0.9999983220697736,True,True,[],0.0,-1,True
23,strong_campaign,18,3,"[""veh_10"", ""veh_11"", ""veh_16""]",3,"{""-1"": 3}",0.9999997799836948,True,True,[],0.0,-1,True
23,strong_campaign,19,3,"[""veh_12"", ""veh_15"", ""veh_17""]",3,"{""-1"": 3}",0.9999994754311367,True,True,[],0.0,-1,True
23,strong_campaign,20,4,"[""veh_12"", ""veh_13"", ""veh_14"", ""veh_18""]",4,"{""-1"": 4}",0.9999994927897635,True,True,[],0.0,-1,True
23,strong_campaign,21,2,"[""veh_14"", ""veh_15""]",2,"{""-1"": 2}",0.999999954285849,True,True,[],0.0,-1,True
23,weak_campaign,0,9,"[""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04""]",5,"{""0"": 9}",0.9999991604468875,True,True,[],0.18,0,True
23,weak_campaign,1,20,"[""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04""]",5,"{""0"": 20}",0.9999996274902431,True,True,[],0.4,0,True
23,weak_campaign,2,4,"[""veh_00"", ""veh_02"", ""veh_03""]",3,"{""0"": 4}",0.9999998804802321,True,True,[],0.08,0,True
23,weak_campaign,3,6,"[""veh_01"", ""veh_02"", ""veh_03"", ""veh_04""]",4,"{""0"": 6}",0.9999996446847877,True,True,[],0.12,0,True
23,weak_campaign,4,2,"[""veh_05"", ""veh_19""]",2,"{""-1"": 2}",0.9999999751631166,True,True,[],0.0,-1,True
23,weak_campaign,5,3,"[""veh_05"", ""veh_11"", ""veh_13""]",3,"{""-1"": 3}",0.9999998782388321,True,True,[],0.0,-1,True
23,weak_campaign,6,2,"[""veh_06"", ""veh_15""]",2,"{""-1"": 2}",0.9999996968004754,True,True,[],0.0,-1,True
23,weak_campaign,7,3,"[""veh_06"", ""veh_09"", ""veh_11""]",3,"{""-1"": 3}",0.9999996805123944,True,True,[],0.0,-1,True
23,weak_campaign,8,13,"[""veh_07"", ""veh_08"", ""veh_14"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""]",7,"{""-1"": 13}",0.9999994252212878,True,True,[],0.0,-1,True
23,weak_campaign,9,2,"[""veh_07"", ""veh_13""]",2,"{""-1"": 2}",0.9999999671507404,True,True,[],0.0,-1,True
23,weak_campaign,10,2,"[""veh_08"", ""veh_13""]",2,"{""-1"": 2}",0.9999998841636176,True,True,[],0.0,-1,True
23,weak_campaign,11,2,"[""veh_09""]",1,"{""-1"": 2}",0.9999998387203289,False,False,"[""min_vehicles<2 (have 1)""]",0.0,-1,False
23,weak_campaign,12,2,"[""veh_09"", ""veh_17""]",2,"{""-1"": 2}",0.9999997994296171,True,True,[],0.0,-1,True
23,weak_campaign,13,2,"[""veh_09"", ""veh_12""]",2,"{""-1"": 2}",0.9999998969748782,True,True,[],0.0,-1,True
23,weak_campaign,14,2,"[""veh_10""]",1,"{""-1"": 2}",0.9999996880112455,False,False,"[""min_vehicles<2 (have 1)""]",0.0,-1,False
23,weak_campaign,15,2,"[""veh_10"", ""veh_17""]",2,"{""-1"": 2}",0.9999999038787568,True,True,[],0.0,-1,True
23,weak_campaign,16,2,"[""veh_11"", ""veh_13""]",2,"{""-1"": 2}",0.9999999351583253,True,True,[],0.0,-1,True
23,weak_campaign,17,2,"[""veh_11"", ""veh_12""]",2,"{""-1"": 2}",0.9999997881141592,True,True,[],0.0,-1,True
23,weak_campaign,18,2,"[""veh_12"", ""veh_15""]",2,"{""-1"": 2}",0.9999998241374398,True,True,[],0.0,-1,True
23,weak_campaign,19,2,"[""veh_12"", ""veh_14""]",2,"{""-1"": 2}",0.9999996897287492,True,True,[],0.0,-1,True
23,weak_campaign,20,2,"[""veh_13""]",1,"{""-1"": 2}",0.9999999872423505,False,False,"[""min_vehicles<2 (have 1)""]",0.0,-1,False
23,weak_campaign,21,2,"[""veh_13"", ""veh_19""]",2,"{""-1"": 2}",0.9999998501613244,True,True,[],0.0,-1,True
23,weak_campaign,22,2,"[""veh_14"", ""veh_18""]",2,"{""-1"": 2}",0.9999996408361947,True,True,[],0.0,-1,True
37,strong_campaign,0,31,"[""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04""]",5,"{""0"": 31}",0.9999989835890276,True,True,[],0.62,0,True
37,strong_campaign,1,2,"[""veh_03"", ""veh_04""]",2,"{""0"": 2}",0.9999994796114193,True,True,[],0.04,0,True
37,strong_campaign,2,12,"[""veh_05"", ""veh_06"", ""veh_07"", ""veh_09"", ""veh_11"", ""veh_12"", ""veh_15"", ""veh_18"", ""veh_19""]",9,"{""-1"": 12}",0.9999990220342901,True,True,[],0.0,-1,True
37,strong_campaign,3,13,"[""veh_05"", ""veh_06"", ""veh_11"", ""veh_13"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""]",8,"{""-1"": 13}",0.9999985750492667,True,True,[],0.0,-1,True
37,strong_campaign,4,40,"[""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""]",14,"{""-1"": 40}",0.9999987980636668,True,True,[],0.0,-1,True
37,strong_campaign,5,2,"[""veh_05"", ""veh_08""]",2,"{""-1"": 2}",0.9999996598424705,True,True,[],0.0,-1,True
37,strong_campaign,6,13,"[""veh_05"", ""veh_06"", ""veh_07"", ""veh_09"", ""veh_10"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_17""]",9,"{""-1"": 13}",0.9999992769034868,True,True,[],0.0,-1,True
37,strong_campaign,7,2,"[""veh_06""]",1,"{""-1"": 2}",0.999999724364756,False,False,"[""min_vehicles<2 (have 1)""]",0.0,-1,False
37,strong_campaign,8,7,"[""veh_06"", ""veh_11"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_19""]",6,"{""-1"": 7}",0.9999984444446992,True,True,[],0.0,-1,True
37,strong_campaign,9,4,"[""veh_07"", ""veh_12"", ""veh_13""]",3,"{""-1"": 4}",0.9999992293738331,True,True,[],0.0,-1,True
37,strong_campaign,10,4,"[""veh_07"", ""veh_08"", ""veh_10"", ""veh_16""]",4,"{""-1"": 4}",0.9999987346121039,True,True,[],0.0,-1,True
37,strong_campaign,11,2,"[""veh_08"", ""veh_13""]",2,"{""-1"": 2}",0.9999989006867944,True,True,[],0.0,-1,True
37,strong_campaign,12,3,"[""veh_08"", ""veh_09"", ""veh_15""]",3,"{""-1"": 3}",0.9999990174536818,True,True,[],0.0,-1,True
37,strong_campaign,13,2,"[""veh_08"", ""veh_17""]",2,"{""-1"": 2}",0.9999996833332468,True,True,[],0.0,-1,True
37,strong_campaign,14,3,"[""veh_08"", ""veh_12"", ""veh_13""]",3,"{""-1"": 3}",0.9999998336899956,True,True,[],0.0,-1,True
37,strong_campaign,15,2,"[""veh_09"", ""veh_12""]",2,"{""-1"": 2}",0.9999995517273245,True,True,[],0.0,-1,True
37,strong_campaign,16,2,"[""veh_10"", ""veh_13""]",2,"{""-1"": 2}",0.9999996409471966,True,True,[],0.0,-1,True
37,strong_campaign,17,2,"[""veh_11"", ""veh_18""]",2,"{""-1"": 2}",0.9999997890182301,True,True,[],0.0,-1,True
37,strong_campaign,18,2,"[""veh_11"", ""veh_19""]",2,"{""-1"": 2}",0.9999996010600832,True,True,[],0.0,-1,True
37,strong_campaign,19,2,"[""veh_14"", ""veh_15""]",2,"{""-1"": 2}",0.999999134940619,True,True,[],0.0,-1,True
37,strong_campaign,20,2,"[""veh_18""]",1,"{""-1"": 2}",0.9999999913277051,False,False,"[""min_vehicles<2 (have 1)""]",0.0,-1,False
37,weak_campaign,0,4,"[""veh_00"", ""veh_02""]",2,"{""0"": 4}",0.9999998094468437,True,True,[],0.08,0,True
37,weak_campaign,1,2,"[""veh_01"", ""veh_03""]",2,"{""0"": 2}",0.9999997818452934,True,True,[],0.04,0,True
37,weak_campaign,2,2,"[""veh_01"", ""veh_04""]",2,"{""0"": 2}",0.999999745202761,True,True,[],0.04,0,True
37,weak_campaign,3,2,"[""veh_01"", ""veh_03""]",2,"{""0"": 2}",0.999999860884615,True,True,[],0.04,0,True
37,weak_campaign,4,2,"[""veh_01"", ""veh_04""]",2,"{""0"": 2}",0.9999998740083857,True,True,[],0.04,0,True
37,weak_campaign,5,2,"[""veh_02"", ""veh_04""]",2,"{""0"": 2}",0.9999999066096037,True,True,[],0.04,0,True
37,weak_campaign,6,3,"[""veh_03"", ""veh_04""]",2,"{""0"": 3}",0.9999999233528362,True,True,[],0.06,0,True
