method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,is_unrelated
M2_descriptor_clustering,strong_campaign,0.27472527472527475,1.0,0.4310344827586208,0.08333333333333333,1.0,0.15384615384615385,0.3289473684210526,2.0,0.0,0.9166666666666666,1.0,12.0,1.0,computed,97,False
M3_gcn,strong_campaign,0.27472527472527475,1.0,0.4310344827586208,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,97,False
M4_graphsage,strong_campaign,0.27472527472527475,1.0,0.4310344827586208,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,97,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",97,
M1_local_if,unrelated_incidents,0.26595744680851063,1.0,0.42016806722689076,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,97,
M2_descriptor_clustering,unrelated_incidents,0.26595744680851063,1.0,0.42016806722689076,0.08333333333333333,0.2,0.11764705882352941,0.08928571428571429,1.0,0.16666666666666666,0.9166666666666666,5.0,12.0,1.0,computed,97,True
M3_gcn,unrelated_incidents,0.26595744680851063,1.0,0.42016806722689076,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,97,True
M4_graphsage,unrelated_incidents,0.26595744680851063,1.0,0.42016806722689076,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,97,True
M1_local_if,strong_campaign,0.2808988764044944,1.0,0.4385964912280702,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,101,
M2_descriptor_clustering,strong_campaign,0.2808988764044944,1.0,0.4385964912280702,0.058823529411764705,1.0,0.1111111111111111,0.3597122302158274,2.0,0.0,0.9411764705882353,1.0,17.0,1.0,computed,101,False
M3_gcn,strong_campaign,0.2808988764044944,1.0,0.4385964912280702,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,computed,101,False
M4_graphsage,strong_campaign,0.2808988764044944,1.0,0.4385964912280702,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,101,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",101,
M1_local_if,unrelated_incidents,0.3048780487804878,1.0,0.4672897196261682,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,101,
M2_descriptor_clustering,unrelated_incidents,0.3048780487804878,1.0,0.4672897196261682,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,1.0,5.0,11.0,0.0,computed,101,True
M3_gcn,unrelated_incidents,0.3048780487804878,1.0,0.4672897196261682,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,101,True
M4_graphsage,unrelated_incidents,0.3048780487804878,1.0,0.4672897196261682,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,101,True
