unique_edges,seed,similarity_threshold,max_cross_vehicle_neighbors,max_same_vehicle_neighbors,campaign_precision,campaign_recall,campaign_f1,membership_precision,fragmentation,incorrect_merging,false_campaign_rate,graph_build_time,gnn_inference_time,end_to_end_latency,peak_memory
775.0,58.4,0.75,5.0,2.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.1299811458913609,0.09424765830626705,0.3077602039673365,1.3226969718933106
856.0,58.4,0.95,20.0,2.0,1.0,1.0,1.0,0.9714285714285715,0.0,0.0,0.0,0.18193423717748372,0.08165738312527532,0.35574530838057394,1.360079002380371
857.0,58.4,0.8,5.0,2.0,0.5,0.9,0.6333333333333333,0.3915750915750915,0.8,0.0,0.8,0.11761155829299239,0.08150877491571004,0.29139407931361344,1.3503278732299804
886.0,58.4,0.85,10.0,2.0,0.55,0.6,0.5666666666666667,0.6,0.1,0.0,0.1,0.13674483750946814,0.08108320820610967,0.31560065399389714,1.363156223297119
906.0,58.4,0.9,20.0,2.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.18467126239556816,0.0825706626172177,0.36495684997644273,1.3749811172485351
912.0,58.4,0.75,5.0,2.0,0.7,1.0,0.8,0.5983516483516483,0.6,0.0,0.6,0.11608802521368485,0.08245657101506362,0.30228593351785094,1.3652788162231446
996.0,58.4,0.85,10.0,2.0,0.5333333333333333,1.0,0.6833333333333333,0.4560085747585747,0.9,0.0,0.9,0.13897992499405515,0.08333895012037824,0.3190816668095067,1.3900362968444824
1037.0,58.4,0.8,10.0,2.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.14112490417901422,0.09105748347938056,0.32667445018887514,1.4030120849609375
1076.0,58.4,0.9,20.0,2.0,0.6,0.9,0.7,0.5672494172494172,0.6,0.0,0.6,0.18533697932725768,0.09897015430033203,0.38539454189594835,1.418721580505371
1159.0,58.4,0.75,10.0,2.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.1409409999614581,0.09069386260816822,0.3288744455901905,1.4420479774475097
1169.0,58.4,0.85,20.0,2.0,0.6,0.6,0.6,0.5,0.0,0.0,0.0,0.1839599000988528,0.09186228299513455,0.3742540498729795,1.4443183898925782
1205.0,58.4,0.8,10.0,2.0,0.45,0.7,0.5333333333333333,0.3880952380952381,0.5,0.0,0.5,0.15309086659690363,0.09526022090576586,0.35375497092027214,1.446513557434082
1368.0,58.4,0.75,10.0,2.0,0.35,0.5,0.4,0.30817307692307694,0.3,0.0,0.3,0.1413506417185999,0.09246202488429839,0.34276368749560787,1.4887873649597168
1371.0,58.4,0.85,20.0,2.0,0.4,0.6,0.4666666666666666,0.3510989010989011,0.4,0.0,0.4,0.1869987917831167,0.0938556084875017,0.3929842916084453,1.4979580879211425
1436.0,58.4,0.8,20.0,2.0,0.65,0.7,0.6666666666666667,0.44545454545454544,0.1,0.0,0.1,0.1877022958244197,0.09305655851494517,0.40104114580899475,1.5181402206420898
