set_id,seed,scenario,before_incorrect_merge,after_incorrect_merge,before_campaign_f1,after_campaign_f1,before_false_campaign,after_false_campaign
set_03,11,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,11,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,11,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,11,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,11,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,23,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,23,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,23,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,23,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,23,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,37,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,37,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,37,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,37,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,37,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,41,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,41,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,41,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,41,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,41,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,53,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,53,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,53,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,53,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,53,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,67,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,67,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,67,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,67,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,67,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,71,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,71,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,71,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,71,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,71,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,83,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,83,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,83,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,83,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,83,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,97,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,97,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,97,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,97,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,97,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,101,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_03,101,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_03,101,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_03,101,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_03,101,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,11,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,11,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,11,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,11,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,11,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,23,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,23,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,23,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,23,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,23,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,37,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,37,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,37,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,37,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,37,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,41,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,41,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,41,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,41,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,41,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,53,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,53,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,53,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,53,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,53,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,67,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,67,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,67,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,67,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,67,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,71,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,71,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,71,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,71,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,71,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,83,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,83,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,83,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,83,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,83,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,97,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,97,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,97,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,97,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,97,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,101,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_04,101,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_04,101,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_04,101,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_04,101,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
