planned_at,git_commit,scenario_key,scenario_id,method,seed,campaign_size,coordination_strength,status,run_id
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,fcgnn,11,5,1.0,completed,S3_strong_campaign_fcgnn_n5_cs1p00_seed11_20260610T163253_6754aa8b
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,local_ids,11,10,0.75,completed,S3_strong_campaign_local_ids_n10_cs0p75_seed11_20260610T163254_8424d53c
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,descriptor_clustering,11,10,0.75,completed,S3_strong_campaign_descriptor_clustering_n10_cs0p75_seed11_20260610T163257_f65d67dd
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,standard_gnn,11,10,0.75,completed,S3_strong_campaign_standard_gnn_n10_cs0p75_seed11_20260610T163300_f045988a
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,fcgnn,11,10,0.75,completed,S3_strong_campaign_fcgnn_n10_cs0p75_seed11_20260610T163303_0e885c30
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,local_ids,11,10,1.0,completed,S3_strong_campaign_local_ids_n10_cs1p00_seed11_20260610T163306_8780cf4c
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,descriptor_clustering,11,10,1.0,completed,S3_strong_campaign_descriptor_clustering_n10_cs1p00_seed11_20260610T163309_99b41705
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,standard_gnn,11,10,1.0,completed,S3_strong_campaign_standard_gnn_n10_cs1p00_seed11_20260610T163312_d21252cd
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,fcgnn,11,10,1.0,completed,S3_strong_campaign_fcgnn_n10_cs1p00_seed11_20260610T163315_e247c8be
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,local_ids,11,2,0.75,completed,S4_weak_campaign_local_ids_n2_cs0p75_seed11_20260610T163317_0eff512d
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,descriptor_clustering,11,2,0.75,completed,S4_weak_campaign_descriptor_clustering_n2_cs0p75_seed11_20260610T163318_5be28b61
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,standard_gnn,11,2,0.75,completed,S4_weak_campaign_standard_gnn_n2_cs0p75_seed11_20260610T163319_08de6912
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,fcgnn,11,2,0.75,completed,S4_weak_campaign_fcgnn_n2_cs0p75_seed11_20260610T163320_918e79d1
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,local_ids,11,2,1.0,completed,S4_weak_campaign_local_ids_n2_cs1p00_seed11_20260610T163321_7be65a3b
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,descriptor_clustering,11,2,1.0,completed,S4_weak_campaign_descriptor_clustering_n2_cs1p00_seed11_20260610T163322_f1c6ffbf
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,standard_gnn,11,2,1.0,completed,S4_weak_campaign_standard_gnn_n2_cs1p00_seed11_20260610T163323_ec5a0072
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,fcgnn,11,2,1.0,completed,S4_weak_campaign_fcgnn_n2_cs1p00_seed11_20260610T163324_97d3df6b
