method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
local_ids,11,S4_weak_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3192708333333333,0.3336347326870423,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,0.6924036249984056,0.0
standard_gnn,11,S4_weak_campaign,10,1.0,2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0897289580025244,0.0798115840007085,0.0053929999994579,3.171407540998189,
local_ids,11,S4_weak_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3192708333333333,0.3336347326870423,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,0.6462337909906637,0.0
fcgnn,11,S4_weak_campaign,5,0.75,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0323569169850088,0.0290272919810377,0.0016912500141188,0.3674302499857731,
fcgnn,11,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.031487833999563,0.007408542005578,0.0015631249989382,0.1944744159991387,
fcgnn,11,S4_weak_campaign,5,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.030707791011082,0.0295524590183049,0.0016305000171996,0.3712098329851869,
local_ids,23,S4_weak_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3139305555555556,0.3318777204826557,240,174,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,0.6486171249998733,0.0
standard_gnn,11,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0339822090172674,0.0287823750113602,0.0020597499969881,0.2222777499991934,
local_ids,23,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,0.1508679580001626,0.0
descriptor_clustering,11,S4_weak_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.3628639232696899,240,190,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,14,0.0549628339940682,,0.0026418330089654,0.8382816250086762,
local_ids,11,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,0.1564861249935347,0.0
fcgnn,23,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.033240749995457,0.0082002090057358,0.0022108329867478,0.2034106250212062,
standard_gnn,11,S4_weak_campaign,5,1.0,2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,10,0.0709378749888856,0.0678884999942965,0.0048163330066017,1.957992458017543,
local_ids,11,S4_weak_campaign,10,0.75,2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.3072023809523809,0.6086084841291762,840,173,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.9321072080056183,0.0
local_ids,11,S4_weak_campaign,10,1.0,2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.3072023809523809,0.6086084841291762,840,173,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,3.0121542910055723,0.0
descriptor_clustering,11,S4_weak_campaign,5,0.75,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,1.0,2,0,0,30,0.0314694579865317,,0.0017062500119209,0.3319438330072444,
fcgnn,11,S4_weak_campaign,5,0.75,2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,13,0.0662532080023083,0.0651945409772452,0.0042076249956153,1.6715873340144751,
local_ids,11,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,0.1445765839889645,0.0
descriptor_clustering,11,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,1.0,2,0,0,30,0.0331593329901807,,0.0017640420119278,0.3031132080068346,
fcgnn,23,S4_weak_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3954861111111111,0.3624478689352106,240,174,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0515106669918168,0.0138123750220984,0.0035252079833298,0.7286225839925464,
local_ids,23,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,0.1473715419997461,0.0
descriptor_clustering,11,S4_weak_campaign,5,0.75,2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0669762080069631,,0.0038058339850977,1.638991125015309,
descriptor_clustering,11,S4_weak_campaign,2,0.75,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,1.0,2,0,0,30,0.0318890000053215,,0.0016859580064192,0.1957289160054642,
standard_gnn,11,S4_weak_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.3628639232696899,240,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,4,1,0,63,0.0504582089779432,0.0543220830149948,0.0046339999826159,0.7712724999873899,
local_ids,11,S4_weak_campaign,2,1.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,0.142960375000257,0.0
standard_gnn,11,S4_weak_campaign,5,0.75,2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0668318329844623,0.0553938749944791,0.0034379580174572,1.6246996250119992,
