set_id,scenario,scenario_type,local_or_incident_detected,fleet_campaign_detected,false_campaign,incorrect_merge_rate,campaign_precision,campaign_recall,campaign_f1,membership_precision,membership_recall,membership_f1,fragmentation_rate,benign_contamination_rate,best_cluster,n_clusters,num_nodes,num_edges,cross_vehicle_edges,cross_vehicle_edge_pct,cross_manufacturer_edges,average_degree,isolated_node_rate,similarity_threshold,cross_vehicle_threshold,knn_cap,cross_vehicle_cap,temporal_edges,mean_similarity,connected_components,largest_component,mutual_knn,dbscan_eps,dbscan_min_samples,apply_consistency_rule,n_nodes,sweep_phase
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,1060,10,0.9433962264150944,0,10.6,0.0,0.72,0.72,10,5,0,0.9970187838909761,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,1070,20,1.8691588785046727,0,10.7,0.0,0.72,0.72,10,10,0,0.9959701432245914,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1070,20,1.8691588785046729,0,10.7,0.0,0.72,0.72,10,10,0,0.9959701432245914,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1492,2,0.13404825737265416,0,14.92,0.0,0.72,0.72,15,1,0,0.9974406073943539,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,1492,2,0.13404825737265416,0,14.92,0.0,0.72,0.72,15,1,0,0.9974406073943539,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1494,4,0.2677376171352075,0,14.94,0.0,0.72,0.72,15,2,0,0.9972496161180009,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1494,4,0.2677376171352075,0,14.94,0.0,0.72,0.72,15,2,0,0.9972496161180009,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,1496,6,0.4010695187165776,0,14.96,0.0,0.72,0.72,15,3,0,0.9970588510766386,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1496,6,0.40106951871657753,0,14.96,0.0,0.72,0.72,15,3,0,0.9970588510766386,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1500,10,0.6666666666666667,0,15.0,0.0,0.72,0.72,15,5,0,0.9966836010615031,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1500,10,0.6666666666666666,0,15.0,0.0,0.72,0.72,15,5,0,0.9966836010615031,3,96,True,0.8,2,False,200,
