run_id,method,framework_config,scenario_id,seed,campaign_size,coordination_strength,campaign_metrics_na,membership_purity,fragmentation,completeness,n_campaign_clusters,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events
campaign_size_corrected_weak_n2_fcgnn_seed41_20260611T122933_349a78e8,fcgnn,C3,S4,41,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,10.0
campaign_size_corrected_weak_n2_fcgnn_seed53_20260611T122938_317eb40e,fcgnn,C3,S4,53,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,10.0
campaign_size_corrected_weak_n2_fcgnn_seed67_20260611T122942_6e77bac2,fcgnn,C3,S4,67,2,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
campaign_size_corrected_weak_n2_fcgnn_seed71_20260611T122947_c31fb8b1,fcgnn,C3,S4,71,2,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
campaign_size_corrected_weak_n2_fcgnn_seed83_20260611T122951_c27d3755,fcgnn,C3,S4,83,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,14.0
campaign_size_corrected_weak_n2_fcgnn_seed97_20260611T122955_b2f38bed,fcgnn,C3,S4,97,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,12.0
campaign_size_corrected_weak_n5_fcgnn_seed101_20260611T123046_ca9eea20,fcgnn,C3,S4,101,5,1.0,False,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,47.0
campaign_size_corrected_weak_n5_fcgnn_seed11_20260611T123004_4b405120,fcgnn,C3,S4,11,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,27.0
campaign_size_corrected_weak_n5_fcgnn_seed23_20260611T123009_cd49b87b,fcgnn,C3,S4,23,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,18.0
campaign_size_corrected_weak_n5_fcgnn_seed37_20260611T123014_508a5d1c,fcgnn,C3,S4,37,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,15.0
campaign_size_corrected_weak_n5_fcgnn_seed41_20260611T123018_0e5462d3,fcgnn,C3,S4,41,5,1.0,False,0.5,0.0,1.0,2.0,1.0,0.5,1.0,0.6666666666666666,1.0,2.0,2.0,0.0,25.0
campaign_size_corrected_weak_n5_fcgnn_seed53_20260611T123023_cc0e73c3,fcgnn,C3,S4,53,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,18.0
campaign_size_corrected_weak_n5_fcgnn_seed67_20260611T123027_1de465ea,fcgnn,C3,S4,67,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,21.0
campaign_size_corrected_weak_n5_fcgnn_seed71_20260611T123032_5611f939,fcgnn,C3,S4,71,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,13.0
campaign_size_corrected_weak_n5_fcgnn_seed83_20260611T123036_9ae7536c,fcgnn,C3,S4,83,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,21.0
campaign_size_corrected_weak_n5_fcgnn_seed97_20260611T123041_d0670617,fcgnn,C3,S4,97,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,16.0
S0_benign_control_fcgnn_n0_cs0p00_seed101_20260611T102839_4848fffe,fcgnn,C3,S0,101,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed11_20260611T100441_da421daa,fcgnn,C3,S0,11,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed11_20260611T102834_2b62d361,fcgnn,C3,S0,11,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed23_20260611T102835_044b9166,fcgnn,C3,S0,23,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed37_20260611T102836_152c400c,fcgnn,C3,S0,37,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed41_20260611T102836_f8029cdc,fcgnn,C3,S0,41,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed53_20260611T102837_6b165efe,fcgnn,C3,S0,53,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed67_20260611T102837_bfa59c0b,fcgnn,C3,S0,67,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed71_20260611T102838_bd68588d,fcgnn,C3,S0,71,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S0_benign_control_fcgnn_n0_cs0p00_seed83_20260611T102838_cbaa52f5,fcgnn,C3,S0,83,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
