run_id,scenario_id,seed,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,latency_sec,prediction_source
campaign_size_corrected_weak_n2_descriptor_clustering_seed11_20260611T122918_569cdd51,S4,11,0,85,105,10,0.0,0.0,0.0,0.4473684210526316,1.0,0.2221052631578947,0.0335479721137107,1.0454417080036364,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed23_20260611T122922_cb9ed629,S4,23,0,90,100,10,0.0,0.0,0.0,0.4736842105263157,1.0,0.2471052631578947,0.0346128464163839,1.1308407909818925,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed37_20260611T122927_efeaf237,S4,37,0,94,96,10,0.0,0.0,0.0,0.4947368421052631,1.0,0.2326315789473684,0.0337142526566534,1.0481666660052724,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed41_20260611T122931_2c6863f5,S4,41,0,83,107,10,0.0,0.0,0.0,0.4368421052631579,1.0,0.1926315789473684,0.0321302910713802,1.0430749580264091,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed53_20260611T122936_60dae142,S4,53,0,84,106,10,0.0,0.0,0.0,0.4421052631578947,1.0,0.2136842105263157,0.0330705357870486,1.0720815410022624,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed67_20260611T122940_44523ab0,S4,67,0,85,105,10,0.0,0.0,0.0,0.4473684210526316,1.0,0.321578947368421,0.0379706711644926,1.0520155419944786,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed71_20260611T122944_f16cc106,S4,71,0,91,99,10,0.0,0.0,0.0,0.4789473684210526,1.0,0.2478947368421052,0.034460707147154,1.1229074579896403,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed83_20260611T122949_aca6f961,S4,83,0,94,96,10,0.0,0.0,0.0,0.4947368421052631,1.0,0.1463157894736842,0.0311216467568626,1.0708518330357035,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed97_20260611T122953_eee15188,S4,97,0,88,102,10,0.0,0.0,0.0,0.4631578947368421,1.0,0.1652631578947368,0.0317057744194939,1.0494135830085725,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed101_20260611T123043_70578370,S4,101,0,86,89,25,0.0,0.0,0.0,0.4914285714285714,1.0,0.3212571428571428,0.0907830361663849,1.1536623339634389,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed11_20260611T123002_02162920,S4,11,0,79,96,25,0.0,0.0,0.0,0.4514285714285714,1.0,0.2553142857142857,0.0840237284465641,1.0762831249739977,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed23_20260611T123007_00c588a8,S4,23,0,89,86,25,0.0,0.0,0.0,0.5085714285714286,1.0,0.2436571428571428,0.0827801187040071,1.180060582992155,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed37_20260611T123011_991e030c,S4,37,0,92,83,25,0.0,0.0,0.0,0.5257142857142857,1.0,0.2020571428571428,0.0783426232845703,1.0702904589707032,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed41_20260611T123016_0f2da345,S4,41,0,86,89,25,0.0,0.0,0.0,0.4914285714285714,1.0,0.2229714285714286,0.0800098036781481,1.0924311249982566,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed53_20260611T123020_7c7c37af,S4,53,0,81,94,25,0.0,0.0,0.0,0.4628571428571428,1.0,0.2454857142857143,0.0819944654740873,1.1033155409968458,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed67_20260611T123025_7e454948,S4,67,0,80,95,25,0.0,0.0,0.0,0.4571428571428571,1.0,0.2608,0.083354060538911,1.0699391250382178,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed71_20260611T123030_4ed2b8a7,S4,71,0,89,86,25,0.0,0.0,0.0,0.5085714285714286,1.0,0.2505142857142857,0.0827910976804808,1.1642344580031931,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed83_20260611T123034_655c1e81,S4,83,0,90,85,25,0.0,0.0,0.0,0.5142857142857142,1.0,0.2187428571428571,0.0797369465209327,1.0750472079962492,isolation_forest_only
campaign_size_corrected_weak_n5_descriptor_clustering_seed97_20260611T123039_b8c299f0,S4,97,0,90,85,25,0.0,0.0,0.0,0.5142857142857142,1.0,0.2269714285714285,0.0807123414715392,1.1550448330235668,isolation_forest_only
