tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,method,seed,run_id,scenario_key,scenario_id,campaign_size,coordination_strength,runtime_total_sec
2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,2,0,31,descriptor_clustering,11,S4_weak_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T141748_74da3f67,S4_weak_campaign,S4,5,1.0,1.582536250003613
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.36286392326968997,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,fcgnn,11,S4_weak_campaign_fcgnn_n2_cs0p75_seed11_20260610T141736_b2270adc,S4_weak_campaign,S4,2,0.75,0.77882416601642
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.36286392326968997,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,fcgnn,11,S4_weak_campaign_fcgnn_n2_cs1p00_seed11_20260610T141739_66f34838,S4_weak_campaign,S4,2,1.0,0.793207707989495
2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,5,2,0,127,fcgnn,11,S4_weak_campaign_fcgnn_n10_cs0p75_seed11_20260610T141803_811ce0ae,S4_weak_campaign,S4,10,0.75,3.143936208012746
2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3106840277777778,0.48533206874618506,480,191,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S4_weak_campaign_local_ids_n5_cs1p00_seed11_20260610T141746_11f0c7b4,S4_weak_campaign,S4,5,1.0,1.559004875016398
2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,4,2,0,54,standard_gnn,11,S4_weak_campaign_standard_gnn_n10_cs0p75_seed11_20260610T141800_e67811d1,S4_weak_campaign,S4,10,0.75,3.148677249992033
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.36286392326968997,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,standard_gnn,11,S4_weak_campaign_standard_gnn_n2_cs0p75_seed11_20260610T141735_f5d02a2e,S4_weak_campaign,S4,2,0.75,0.739886499999556
2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3106840277777778,0.48533206874618506,480,191,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S4_weak_campaign_local_ids_n5_cs0p75_seed11_20260610T141740_e1880f8d,S4_weak_campaign,S4,5,0.75,1.505327374994522
2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,descriptor_clustering,11,S4_weak_campaign_descriptor_clustering_n10_cs1p00_seed11_20260610T141809_6aead5b9,S4_weak_campaign,S4,10,1.0,3.011475791980047
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.31927083333333334,0.33363473268704236,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S4_weak_campaign_local_ids_n2_cs1p00_seed11_20260610T141737_0ac8206a,S4_weak_campaign,S4,2,1.0,0.6777709160232911
2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,fcgnn,11,S4_weak_campaign_fcgnn_n10_cs1p00_seed11_20260610T141815_6e307665,S4_weak_campaign,S4,10,1.0,3.21172029201989
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.36286392326968997,240,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,32,descriptor_clustering,11,S4_weak_campaign_descriptor_clustering_n2_cs0p75_seed11_20260610T141734_c9f4488f,S4_weak_campaign,S4,2,0.75,0.7714369579916821
2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,2,0,18,descriptor_clustering,11,S4_weak_campaign_descriptor_clustering_n10_cs0p75_seed11_20260610T141756_7aa74b0f,S4_weak_campaign,S4,10,0.75,3.107112084020627
2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,fcgnn,11,S4_weak_campaign_fcgnn_n5_cs1p00_seed11_20260610T141752_383468cd,S4_weak_campaign,S4,5,1.0,1.8112488750193732
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3954861111111111,0.36244786893521064,240,174,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,fcgnn,23,S4_weak_campaign_fcgnn_n2_cs1p00_seed23_20260610T141614_1c59b8f4,S4_weak_campaign,S4,2,1.0,0.7841173330089071
2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,standard_gnn,11,S4_weak_campaign_standard_gnn_n10_cs1p00_seed11_20260610T141812_5051f923,S4_weak_campaign,S4,10,1.0,3.1714075409981892
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.31927083333333334,0.33363473268704236,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S4_weak_campaign_local_ids_n2_cs0p75_seed11_20260610T141734_f8d35138,S4_weak_campaign,S4,2,0.75,0.646233790990663
