scenario_key,scenario_id,method,seed,campaign_size,coordination_strength
S2_non_coordinated,S2,standard_gnn,53,5,0.0
S2_non_coordinated,S2,fcgnn,53,5,0.0
S2_non_coordinated,S2,local_ids,53,5,0.25
S2_non_coordinated,S2,descriptor_clustering,53,5,0.25
S2_non_coordinated,S2,standard_gnn,53,5,0.25
S2_non_coordinated,S2,fcgnn,53,5,0.25
S2_non_coordinated,S2,local_ids,53,10,0.0
S2_non_coordinated,S2,descriptor_clustering,53,10,0.0
S2_non_coordinated,S2,standard_gnn,53,10,0.0
S2_non_coordinated,S2,fcgnn,53,10,0.0
S2_non_coordinated,S2,local_ids,53,10,0.25
S2_non_coordinated,S2,descriptor_clustering,53,10,0.25
S2_non_coordinated,S2,standard_gnn,53,10,0.25
S2_non_coordinated,S2,fcgnn,53,10,0.25
S2_non_coordinated,S2,local_ids,67,2,0.0
S2_non_coordinated,S2,descriptor_clustering,67,2,0.0
S2_non_coordinated,S2,standard_gnn,67,2,0.0
S2_non_coordinated,S2,fcgnn,67,2,0.0
S2_non_coordinated,S2,local_ids,67,2,0.25
S2_non_coordinated,S2,descriptor_clustering,67,2,0.25
S2_non_coordinated,S2,standard_gnn,67,2,0.25
S2_non_coordinated,S2,fcgnn,67,2,0.25
S2_non_coordinated,S2,local_ids,67,5,0.0
S2_non_coordinated,S2,descriptor_clustering,67,5,0.0
S2_non_coordinated,S2,standard_gnn,67,5,0.0
S2_non_coordinated,S2,fcgnn,67,5,0.0
S2_non_coordinated,S2,local_ids,67,5,0.25
S2_non_coordinated,S2,descriptor_clustering,67,5,0.25
S2_non_coordinated,S2,standard_gnn,67,5,0.25
S2_non_coordinated,S2,fcgnn,67,5,0.25
S2_non_coordinated,S2,local_ids,67,10,0.0
S2_non_coordinated,S2,descriptor_clustering,67,10,0.0
S2_non_coordinated,S2,standard_gnn,67,10,0.0
S2_non_coordinated,S2,fcgnn,67,10,0.0
S2_non_coordinated,S2,local_ids,67,10,0.25
S2_non_coordinated,S2,descriptor_clustering,67,10,0.25
S2_non_coordinated,S2,standard_gnn,67,10,0.25
