method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,n_nodes,n_graph_edges,is_unrelated
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,1065,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,1065,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,97,200,1077,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,97,200,1077,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,1077,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,97,200,1077,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,97,200,1097,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,97,200,1097,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,97,200,1097,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1,0,computed,97,200,1097,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,101,200,1096,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,0.0,1,1,1,computed,101,200,1096,False
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,1096,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384615,1.0,0.0,0.0,1,1,1,computed,101,200,1096,False
M1_local_IF,weak_campaign,1.0,0.06,0.11320754716981131,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,101,200,1052,
M2_descriptor_clustering,weak_campaign,1.0,0.06,0.11320754716981131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,101,200,1052,False
M3_GCN,weak_campaign,1.0,0.06,0.11320754716981131,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,1052,False
M4_GraphSAGE,weak_campaign,1.0,0.06,0.11320754716981131,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,101,200,1052,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,101,200,1114,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1,0,computed,101,200,1114,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,101,200,1114,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,101,200,1114,True
