run_id,run_dir,scenario_key,scenario_id,method,seed,campaign_size,coordination_strength,scenario_hash,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
S3_strong_campaign_standard_gnn_n2_cs1p00_seed11_20260610T141659_f5d1beca,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_standard_gnn_n2_cs1p00_seed11_20260610T141659_f5d1beca,S3_strong_campaign,S3,standard_gnn,11,2,1.0,2b592588a2efac1b,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,27,0.0561659579980187,0.073206790984841,0.0046569579862989,0.7184893749945331,
S3_strong_campaign_descriptor_clustering_n2_cs1p00_seed11_20260610T141658_0e16fb92,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_descriptor_clustering_n2_cs1p00_seed11_20260610T141658_0e16fb92,S3_strong_campaign,S3,descriptor_clustering,11,2,1.0,2b592588a2efac1b,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0553560839907731,,0.0027491250075399,0.6569791249930859,
S3_strong_campaign_local_ids_n2_cs1p00_seed11_20260610T141657_6aa2e4ae,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_local_ids_n2_cs1p00_seed11_20260610T141657_6aa2e4ae,S3_strong_campaign,S3,local_ids,11,2,1.0,2b592588a2efac1b,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777776,0.9394668658466336,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,0.5768969579949044,0.0
S3_strong_campaign_local_ids_n2_cs1p00_seed23_20260610T141610_cb07eb05,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_local_ids_n2_cs1p00_seed23_20260610T141610_cb07eb05,S3_strong_campaign,S3,local_ids,23,2,1.0,9f8fda8b9c810907,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9457916666666666,0.9419859717911384,0,174,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,0.5991632500081323,0.0
S3_strong_campaign_descriptor_clustering_n10_cs0p75_seed11_20260610T141714_589eac32,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_descriptor_clustering_n10_cs0p75_seed11_20260610T141714_589eac32,S3_strong_campaign,S3,descriptor_clustering,11,10,0.75,b4422ab9ff90b3a3,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,192,0.1152032919926568,,0.005509125010576,2.5676696250156965,
S3_strong_campaign_local_ids_n2_cs0p75_seed11_20260610T141655_a9e79afa,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_local_ids_n2_cs0p75_seed11_20260610T141655_a9e79afa,S3_strong_campaign,S3,local_ids,11,2,0.75,2b592588a2efac1b,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777776,0.9394668658466336,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,0.563615209015552,0.0
S3_strong_campaign_descriptor_clustering_n10_cs1p00_seed11_20260610T141725_c06d9946,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_descriptor_clustering_n10_cs1p00_seed11_20260610T141725_c06d9946,S3_strong_campaign,S3,descriptor_clustering,11,10,1.0,b4422ab9ff90b3a3,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1,1,0,1061,0.1213055830157827,,0.0074834160041064,2.615268791996641,
S3_strong_campaign_fcgnn_n5_cs0p75_seed11_20260610T141705_c4586d65,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_fcgnn_n5_cs0p75_seed11_20260610T141705_c4586d65,S3_strong_campaign,S3,fcgnn,11,5,0.75,dd61fcf79fea0898,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,5,1,0,128,0.0857257080206181,0.1059075829980429,0.0051638330041896,1.4736589579842985,
S3_strong_campaign_fcgnn_n10_cs0p75_seed11_20260610T141720_b24a7289,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_fcgnn_n10_cs0p75_seed11_20260610T141720_b24a7289,S3_strong_campaign,S3,fcgnn,11,10,0.75,b4422ab9ff90b3a3,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,11,1,0,363,0.1169343749934341,0.1200249590037856,0.0077957919856999,2.7120318750094157,
S3_strong_campaign_fcgnn_n5_cs1p00_seed11_20260610T141710_71f620c0,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_fcgnn_n5_cs1p00_seed11_20260610T141710_71f620c0,S3_strong_campaign,S3,fcgnn,11,5,1.0,dd61fcf79fea0898,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,1,0,142,0.0868143749830778,0.0978637499792967,0.0049997500027529,1.4883479160198476,
S3_strong_campaign_fcgnn_n2_cs0p75_seed11_20260610T141657_a5ab583f,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_fcgnn_n2_cs0p75_seed11_20260610T141657_a5ab583f,S3_strong_campaign,S3,fcgnn,11,2,0.75,2b592588a2efac1b,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,2,1,0,56,0.0548012500221375,0.0662053750129416,0.0044279159919824,0.7092948339995928,
S3_strong_campaign_descriptor_clustering_n5_cs0p75_seed11_20260610T141702_0367b759,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_descriptor_clustering_n5_cs0p75_seed11_20260610T141702_0367b759,S3_strong_campaign,S3,descriptor_clustering,11,5,0.75,dd61fcf79fea0898,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,5,1,0,400,0.0911263749876525,,0.0053218340035527,1.4814205000002405,
S3_strong_campaign_standard_gnn_n5_cs0p75_seed11_20260610T141703_57dc39d4,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_standard_gnn_n5_cs0p75_seed11_20260610T141703_57dc39d4,S3_strong_campaign,S3,standard_gnn,11,5,0.75,dd61fcf79fea0898,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,6,1,0,113,0.0836105830094311,0.088609540980542,0.0052062920003663,1.4294783750083295,
S3_strong_campaign_fcgnn_n2_cs1p00_seed23_20260610T141611_199d3a08,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_fcgnn_n2_cs1p00_seed23_20260610T141611_199d3a08,S3_strong_campaign,S3,fcgnn,23,2,1.0,9f8fda8b9c810907,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7754305555555556,0.7510556067716118,0,174,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,55,0.0575136250117793,0.016161458013812,0.0035682079906109,0.6488790000148583,
